N-gram,Count
under the,6
some of,6
we ll,6
was in,6
down the,6
like this,6
max said,6
man s,6
that was,6
a good,6
against the,6
yes sir,6
doesn t,6
when i,6
his hands,6
come on,6
get out,6
in an,6
a small,6
studied the,6
the squadroom,6
that morning,6
in fact,6
at me,6
so i,6
i am,6
at his,6
middle of,6
of it,6
is nothing,6
of an,6
and so,6
the severed,6
to a,6
of them,6
them in,6
have a,6
hand and,6
severed hand,6
oh yes,6
t think,6
sir i,6
wearing a,6
we can,6
meyer asked,6
piat said,6
meyer s,6
to say,6
like it,6
he asked,6
of her,6
want to,6
well you,6
of candy,6
i bought,6
it had,5
up to,5
was still,5
into his,5
a half,5
wouldn t,5
said oh,5
had not,5
t so,5
what do,5
long time,5
of this,5
and we,5
from his,5
but i,5
s that,5
in this,5
it ain,5
right to,5
the sidewalk,5
shaking his,5
you ll,5
the table,5
you want,5
instead of,5
part of,5
a lot,5
after the,5
hand in,5
then he,5
car and,5
steve carella,5
and studied,5
as a,5
tried to,5
what did,5
what kind,5
was just,5
and all,5
re not,5
that i,5
put on,5
the guy,5
he didn,5
of those,5
you d,5
s pretty,5
they re,5
are a,5
cop you,5
was an,5
the wrist,5
hand was,5
well that,5
try to,5
by the,5
that hand,5
what he,5
blaney said,5
well i,5
thank you,5
you ve,5
i would,5
where the,5
think i,5
a person,5
about a,5
he went,5
guess i,5
you aware,5
not too,5
he paused,5
who would,5
flight which,5
between the,5
like to,5
ambrose said,5
to go,5
the files,5
use a,5
morning he,5
you were,5
a girl,5
know i,5
was wearing,5
haven t,5
the morning,5
he left,5
box of,5
was very,5
raincoat and,5
the stain,5
livingston said,5
the you,5
a great,4
rain that,4
but there,4
the only,4
human being,4
the entire,4
to come,4
here in,4
the goddamn,4
so that,4
one and,4
rain he,4
thought i,4
over to,4
the shop,4
man with,4
t got,4
got no,4
day like,4
working on,4
said yeah,4
going on,4
old man,4
so so,4
nothing i,4
mean it,4
said shaking,4
ll be,4
t like,4
s very,4
said there,4
on his,4
be a,4
the he,4
will you,4
bus stop,4
to see,4
the curb,4
picked up,4
overnight bag,4
a white,4
bag had,4
bag and,4
on that,4
andy parker,4
s desk,4
the bottom,4
bottom of,4
made a,4
for him,4
it to,4
was it,4
covered with,4
and this,4
we got,4
hawes asked,4
the detectives,4
at all,4
me and,4
hawes said,4
i didn,4
asked no,4
s just,4
i thought,4
up and,4
i just,4
tell you,4
this was,4
and when,4
him he,4
he just,4
stared at,4
mean i,4
the window,4
i could,4
have seen,4
he wasn,4
could not,4
d you,4
it out,4
and there,4
there are,4
people who,4
victim s,4
it is,4
used to,4
sight of,4
how long,4
wounds the,4
the body,4
determine the,4
the job,4
to work,4
weren t,4
to determine,4
if the,4
a hand,4
came to,4
belonged to,4
studying the,4
average layman,4
is just,4
knowledge of,4
the blood,4
it from,4
the first,4
said well,4
but you,4
who did,4
did the,4
yes and,4
yes of,4
for this,4
you tell,4
would say,4
can you,4
you i,4
s why,4
a moment,4
of coffee,4
am i,4
this bag,4
bag on,4
genero yes,4
t tell,4
then what,4
what was,4
it and,4
you didn,4
of our,4
for our,4
the minute,4
not exactly,4
oh i,4
our operation,4
was born,4
he learned,4
these bags,4
no not,4
on one,4
if it,4
d like,4
not at,4
very much,4
they all,4
said to,4
might have,4
all about,4
went out,4
little more,4
are the,4
with me,4
valentine s,4
him missing,4
a heart,4
so what,4
ll have,4
before we,4
came back,4
s all,4
won t,4
like that,4
said no,4
to marry,4
master s,4
do i,4
in love,4
with her,4
i have,4
each other,4
all weekend,4
say he,4
was all,4
she shrugged,4
the apartment,4
she went,4
you she,4
was he,4
put them,4
said would,4
did i,4
at carella,4
the bed,4
you said,4
corner of,4
human blood,4
an inch,4
mrs livingston,4
livingston carella,4
a permit,4
lennie meyer,4
cronin said,4
is for,3
the television,3
would not,3
seemed to,3
the river,3
or the,3
make a,3
a damn,3
the corner,3
the streets,3
was as,3
as the,3
were the,3
enough to,3
fact that,3
minutes to,3
gave him,3
him to,3
made him,3
because he,3
think of,3
the basement,3
we don,3
and it,3
think about,3
every now,3
you get,3
max s,3
tailor shop,3
the moment,3
up from,3
i ain,3
off his,3
what does,3
like i,3
mean what,3
about that,3
that there,3
this city,3
city you,3
you in,3
saw the,3
s eyes,3
eyes and,3
a rain,3
so nothing,3
t even,3
a bar,3
job with,3
the wine,3
the back,3
ll get,3
max genero,3
if i,3
went into,3
room and,3
of wine,3
the small,3
his mouth,3
called the,3
very good,3
ready for,3
what is,3
is there,3
you say,3
me with,3
of my,3
to put,3
right i,3
the bridge,3
shook his,3
me a,3
difficult to,3
was impossible,3
impossible to,3
the head,3
open the,3
or woman,3
bus and,3
away from,3
he saw,3
walked to,3
by an,3
side of,3
into it,3
his hand,3
again and,3
was suddenly,3
the detective,3
you may,3
men who,3
went to,3
parker s,3
the day,3
know the,3
the car,3
his coffee,3
was so,3
out the,3
the front,3
parker said,3
i did,3
you just,3
over a,3
know we,3
now how,3
his father,3
two inches,3
looked at,3
m in,3
a hurry,3
to give,3
give me,3
just about,3
to catch,3
and my,3
asked i,3
t take,3
take the,3
this way,3
a guy,3
before he,3
the squad,3
but that,3
just what,3
guy who,3
who was,3
a gun,3
then the,3
said did,3
the the,3
you going,3
back at,3
you a,3
a he,3
said that,3
then you,3
staring at,3
just knew,3
as i,3
should have,3
t i,3
look at,3
the corridor,3
his face,3
face was,3
eyes were,3
oh jesus,3
kling asked,3
asked oh,3
of here,3
take it,3
not have,3
are no,3
is not,3
not the,3
for you,3
know that,3
because you,3
has a,3
the sight,3
no matter,3
matter how,3
man who,3
the face,3
frightening and,3
and disgusting,3
bag was,3
it at,3
medical examiner,3
knew that,3
weight of,3
hand had,3
again it,3
centimeters from,3
half inches,3
such a,3
was covered,3
at last,3
white male,3
one he,3
from a,3
growth and,3
the bones,3
the radius,3
the average,3
through a,3
close to,3
that blaney,3
it for,3
isoreaction test,3
grossman was,3
was no,3
carella was,3
he took,3
the next,3
s office,3
ve got,3
your report,3
all carella,3
hear that,3
you fellows,3
this time,3
what can,3
do for,3
you carella,3
an excellent,3
what about,3
yes the,3
ve been,3
while you,3
sort of,3
said but,3
either a,3
there were,3
the logical,3
yeah i,3
with his,3
his tools,3
and asked,3
a movie,3
that you,3
you don,3
mean yes,3
an umbrella,3
no a,3
you do,3
aware that,3
aware of,3
all this,3
talked to,3
why didn,3
and left,3
lieutenant byrnes,3
told him,3
the lab,3
you take,3
well it,3
the runway,3
of rain,3
bad for,3
we get,3
kling answered,3
paused again,3
it meyer,3
a pretty,3
be very,3
a virtue,3
with meyer,3
s father,3
the kind,3
while he,3
the family,3
and if,3
it in,3
to stand,3
is to,3
have our,3
which gives,3
then we,3
the i,3
inches of,3
of leg,3
leg room,3
but the,3
then there,3
m afraid,3
when did,3
years ago,3
there any,3
me i,3
meyer and,3
as they,3
he read,3
bert kling,3
what it,3
persons bureau,3
who is,3
detective kling,3
looking for,3
in here,3
t get,3
who d,3
look through,3
t that,3
if we,3
we didn,3
a more,3
this morning,3
a dame,3
bubbles caesar,3
she came,3
in her,3
a boy,3
said we,3
was somewhat,3
be in,3
frame of,3
he pulled,3
s day,3
were there,3
to know,3
a look,3
does she,3
no you,3
the coffee,3
in one,3
coffee and,3
love with,3
steve i,3
have no,3
are we,3
know my,3
her and,3
or did,3
big enough,3
said come,3
not that,3
or anything,3
living room,3
androvich carella,3
no we,3
out a,3
what happened,3
left that,3
the she,3
i haven,3
long have,3
no he,3
meg said,3
i wanted,3
to atlanta,3
i get,3
some coffee,3
i think,3
a minute,3
back into,3
a nice,3
yes it,3
big box,3
candy on,3
two dozen,3
you told,3
i told,3
right and,3
do with,3
the flowers,3
and carella,3
detective carella,3
to him,3
why do,3
t quarrel,3
about going,3
because i,3
you ever,3
a black,3
androvich yes,3
the raincoat,3
the what,3
made the,3
way to,3
is all,3
about your,3
cleaver on,3
my husband,3
only a,3
a vase,3
the two,3
she answered,3
monday morning,3
whether or,3
or not,3
blood was,3
bag he,3
orange chalk,3
stain on,3
stain was,3
the second,3
onto the,3
the slide,3
precipitin reaction,3
the safe,3
the announcer,3
the woman,3
son richard,3
the silence,3
were you,3
okay i,3
about me,3
you lennie,3
lennie carella,3
in your,3
talking about,3
the interrogation,3
interrogation room,3
s say,3
could be,3
too serious,3
a few,3
just for,3
for kicks,3
met her,3
your son,3
three years,3
give the,2
been raining,2
days now,2
that they,2
they would,2
richard genero,2
forever and,2
of isola,2
isola and,2
either the,2
it didn,2
t make,2
stood on,2
as black,2
him it,2
was hardly,2
genero felt,2
he felt,2
he were,2
entire city,2
come in,2
the fact,2
would take,2
five minutes,2
the station,2
station house,2
to change,2
to riverhead,2
down his,2
his neck,2
neck and,2
not been,2
away he,2
so bad,2
bad he,2
thought it,2
s better,2
better than,2
partially because,2
because the,2
the very,2
thought of,2
of snow,2
boy he,2
had found,2
found in,2
out he,2
raining we,2
boy s,2
blue and,2
d been,2
leaning forward,2
that a,2
boy was,2
was dead,2
it it,2
makes me,2
me itchy,2
break up,2
now let,2
face it,2
cop has,2
find a,2
mean that,2
man i,2
up against,2
against a,2
that kid,2
the water,2
shop and,2
he walked,2
opened the,2
moment he,2
max he,2
max was,2
he looked,2
looked up,2
sewing machine,2
who wants,2
wants wine,2
wine genero,2
genero answered,2
of your,2
i wouldn,2
said so,2
you already,2
he moved,2
closer to,2
look like,2
what else,2
else would,2
would i,2
on it,2
salvation army,2
s still,2
left in,2
all of,2
us a,2
cleaning and,2
and pressing,2
max mandel,2
a tailor,2
wine max,2
said why,2
a day,2
today is,2
the old,2
his jokes,2
was work,2
up a,2
right into,2
into a,2
s bones,2
m just,2
the marrow,2
get a,2
him up,2
doing a,2
with that,2
went silent,2
outside the,2
said all,2
chills a,2
right it,2
a yes,2
sir genero,2
is in,2
the pressing,2
pressing machine,2
too much,2
genero asked,2
go go,2
but leave,2
nice of,2
of you,2
before i,2
and found,2
the bottle,2
window and,2
and poured,2
the glass,2
he called,2
i should,2
and stop,2
m ready,2
s nothing,2
nothing but,2
stop giving,2
she ll,2
in my,2
leave me,2
in for,2
one day,2
get lost,2
you love,2
i love,2
love you,2
than that,2
s right,2
bridge of,2
that genero,2
opening the,2
closed the,2
door behind,2
behind him,2
now the,2
could feel,2
feel a,2
the puddles,2
or perhaps,2
perhaps the,2
the tall,2
tall woman,2
was difficult,2
to tell,2
was standing,2
in black,2
black raincoat,2
black slacks,2
black umbrella,2
bus pulled,2
pulled to,2
curb spreading,2
a huge,2
canopy of,2
of water,2
the doors,2
he began,2
was when,2
alongside the,2
stop sign,2
he yelled,2
yelled after,2
bag it,2
small blue,2
blue overnight,2
an airline,2
there in,2
we circle,2
circle the,2
attached to,2
identification tag,2
owned the,2
name and,2
spaces the,2
and reached,2
back his,2
now you,2
the word,2
word boys,2
boys to,2
who dealt,2
dealt with,2
with some,2
not be,2
believe that,2
who stood,2
day of,2
drinking coffee,2
time in,2
about him,2
leaned back,2
back in,2
his swivel,2
swivel chair,2
i stopped,2
then made,2
you must,2
must be,2
mayor s,2
s daughter,2
sitting on,2
the edge,2
edge of,2
not particularly,2
to admit,2
he told,2
was well,2
well let,2
let me,2
o clock,2
at an,2
it not,2
found their,2
their way,2
way into,2
stopped by,2
himself as,2
detective and,2
to bawl,2
bawl out,2
him a,2
in truth,2
in other,2
was sitting,2
front seat,2
seat with,2
a costume,2
said a,2
and these,2
these little,2
tiny little,2
little bra,2
the biggest,2
set of,2
i ever,2
a double,2
and for,2
all i,2
you for,2
indecent exposure,2
a growing,2
growing boy,2
father had,2
six feet,2
feet two,2
in at,2
a face,2
re going,2
me the,2
give it,2
to me,2
said she,2
she had,2
be on,2
catch the,2
said or,2
you prefer,2
into her,2
about to,2
the so,2
the why,2
ticket and,2
with those,2
ready to,2
got out,2
and was,2
when the,2
leaped out,2
and started,2
toward a,2
the law,2
to pull,2
do he,2
one leg,2
knew he,2
you let,2
let him,2
him go,2
go hawes,2
s i,2
one i,2
a patrolman,2
a ticket,2
right back,2
him and,2
give you,2
me for,2
nodding his,2
s it,2
i said,2
just kept,2
kept staring,2
if this,2
the last,2
the feeling,2
that this,2
the world,2
on him,2
the gas,2
so you,2
you should,2
guy s,2
d have,2
have known,2
known he,2
started and,2
his eyes,2
anyone would,2
carried the,2
bag in,2
his right,2
desk and,2
came from,2
mouth he,2
he seemed,2
where d,2
what a,2
jesus get,2
ll call,2
call the,2
not look,2
look into,2
bag again,2
the morgue,2
said again,2
room he,2
knew instantly,2
human body,2
now that,2
pretty damn,2
damn disgusting,2
s get,2
are one,2
those people,2
small spurt,2
spurt of,2
of dust,2
blood then,2
are not,2
that death,2
death is,2
have more,2
than likely,2
way of,2
a part,2
deal with,2
nothing reassuring,2
has been,2
a hatchet,2
piece of,2
with color,2
nothing beautiful,2
a body,2
the skin,2
nothing tender,2
the flesh,2
you learn,2
learn that,2
is ugly,2
ugly frightening,2
the force,2
human hand,2
blaney a,2
handling the,2
remains of,2
wondered why,2
he the,2
the medical,2
examiner s,2
the most,2
to examine,2
who had,2
been in,2
to ribbons,2
a job,2
been severed,2
how can,2
the race,2
probable height,2
height and,2
person to,2
to whom,2
of bodies,2
simple to,2
the information,2
information on,2
a slip,2
race white,2
white sex,2
was another,2
identify the,2
the sex,2
sex of,2
presented with,2
blaney had,2
than the,2
her bones,2
medullary spaces,2
one it,2
a female,2
and even,2
the past,2
a male,2
sex male,2
well we,2
thought we,2
got back,2
work again,2
again a,2
microscopic examination,2
examination of,2
since he,2
his microscopic,2
the possibility,2
further that,2
he turned,2
turned to,2
severed slightly,2
slightly above,2
above the,2
portions of,2
radius and,2
and ulna,2
the various,2
bones of,2
as he,2
well he,2
go through,2
and fusion,2
the age,2
age of,2
male and,2
be damned,2
his notes,2
age when,2
when it,2
joint surface,2
place and,2
an attempt,2
the height,2
d had,2
a whole,2
and not,2
a portion,2
portion of,2
one the,2
plus times,2
length of,2
of radius,2
then to,2
arrive at,2
the final,2
make an,2
without a,2
the police,2
an isoreaction,2
blood group,2
group and,2
and grossman,2
grossman would,2
fingerprint impressions,2
impressions from,2
couldn t,2
prints from,2
so blaney,2
was this,2
from there,2
there he,2
his desk,2
along the,2
he dialed,2
office and,2
is carella,2
up at,2
yeah what,2
with it,2
said in,2
glad to,2
to hear,2
anyone in,2
here at,2
s well,2
to have,2
have his,2
doubts it,2
s no,2
you you,2
fellows do,2
do a,2
well thank,2
thank i,2
it carella,2
easier for,2
for us,2
and very,2
very helpful,2
i wonder,2
wonder if,2
can tell,2
tell me,2
anything about,2
but what,2
the perpetrator,2
woman who,2
the oh,2
responsible for,2
could you,2
well the,2
something was,2
did it,2
through those,2
those bones,2
so the,2
was probably,2
mean well,2
well would,2
of anatomy,2
logical place,2
a real,2
why the,2
ve seen,2
find the,2
trunk and,2
but if,2
if a,2
is going,2
cut off,2
see carella,2
the fingertips,2
of and,2
and sometimes,2
know carella,2
in any,2
any case,2
that might,2
familiar with,2
hung up,2
up carella,2
thought for,2
the clerical,2
clerical office,2
was on,2
upon the,2
being a,2
he supposed,2
movie star,2
only got,2
to understand,2
understand genero,2
who left,2
left this,2
this person,2
umbrella was,2
mean trousers,2
sir yes,2
course i,2
they could,2
you saw,2
then i,2
the and,2
three blocks,2
you could,2
i wasn,2
bag to,2
or of,2
out to,2
international airport,2
of all,2
yes then,2
genero i,2
frick said,2
that corner,2
yes was,2
we talked,2
at that,2
no one,2
a bus,2
t be,2
expected to,2
who gets,2
re right,2
on your,2
go on,2
left the,2
upstairs and,2
he wanted,2
byrnes said,2
at once,2
the photograph,2
photograph of,2
yes that,2
said nice,2
detective meyer,2
a police,2
s our,2
the huge,2
wall of,2
the fourth,2
damn rain,2
can fly,2
fly in,2
question the,2
all piat,2
the photo,2
photo of,2
well what,2
about this,2
and looked,2
kling and,2
used it,2
a oh,2
the newspapers,2
would make,2
was thinking,2
know a,2
that kind,2
you it,2
it might,2
might be,2
good for,2
who knows,2
said patiently,2
if there,2
was one,2
virtue he,2
with or,2
was named,2
you see,2
something of,2
yes he,2
a possibility,2
his wife,2
known as,2
of life,2
were both,2
to learn,2
practical joke,2
the baby,2
name would,2
a week,2
meyer on,2
other hand,2
and they,2
a neighborhood,2
a large,2
the kids,2
his name,2
got it,2
learned that,2
to talk,2
sometimes it,2
just once,2
once when,2
one other,2
well they,2
are given,2
given to,2
with our,2
that correct,2
yes we,2
in and,2
in short,2
same accommodations,2
the dinner,2
our tourist,2
tourist flight,2
yes meyer,2
room but,2
see and,2
and of,2
all these,2
patiently we,2
which will,2
re trying,2
of people,2
means of,2
the bags,2
them to,2
all passengers,2
luxury or,2
six years,2
anyone who,2
is and,2
how many,2
you oh,2
thousands and,2
and thousands,2
the yes,2
forgive me,2
with all,2
all those,2
get into,2
it does,2
said thank,2
for your,2
your time,2
and kling,2
they walked,2
across the,2
room to,2
friday morning,2
a kid,2
kid he,2
he used,2
turned up,2
the beach,2
charge the,2
record player,2
the blanket,2
learned about,2
the earth,2
was to,2
wet and,2
and cold,2
cold and,2
had started,2
said dryly,2
the ages,2
ages of,2
of eighteen,2
eighteen and,2
you hear,2
romeo ambrose,2
mike bartholdi,2
bartholdi answered,2
time to,2
a new,2
assumption that,2
because of,2
asked but,2
we might,2
to you,2
yeah kling,2
answered and,2
be careful,2
your hands,2
atop the,2
way you,2
change your,2
there for,2
the cards,2
reported missing,2
over there,2
there near,2
he is,2
call his,2
forget all,2
the february,2
february file,2
about her,2
was studying,2
the folder,2
of claire,2
claire townsend,2
and got,2
went down,2
of mind,2
were looking,2
asked well,2
ll see,2
psssssss bartholdi,2
pulled a,2
right in,2
man kling,2
airlines bag,2
this one,2
thanks kling,2
took the,2
and went,2
talk to,2
huh carella,2
listen i,2
hit the,2
meet you,2
guy is,2
reported him,2
you on,2
fine kling,2
for me,2
as you,2
deep into,2
to form,2
but nothing,2
hell was,2
a hat,2
one corner,2
the opposite,2
where are,2
heart the,2
to carella,2
kept you,2
you kling,2
get any,2
a cup,2
cup of,2
we see,2
see this,2
re coming,2
ll find,2
get the,2
there you,2
read it,2
it through,2
a smile,2
claire s,2
father left,2
be back,2
the weekend,2
she wants,2
she s,2
kling shrugged,2
the master,2
i ask,2
her to,2
every time,2
time i,2
her she,2
s so,2
go to,2
well there,2
not to,2
marry her,2
her i,2
jesus i,2
i hope,2
again well,2
is well,2
be different,2
we just,2
got married,2
we are,2
keep my,2
hands off,2
i bring,2
to rush,2
her alone,2
mean is,2
we were,2
it that,2
that way,2
t mean,2
but not,2
weekend carella,2
my sunday,2
on monday,2
weekend he,2
it isn,2
you gone,2
think he,2
good i,2
s go,2
m a,2
a blonde,2
to her,2
five feet,2
feet seven,2
seven and,2
inches tall,2
his left,2
with calm,2
was indeed,2
her face,2
her body,2
is about,2
is this,2
karl she,2
she asked,2
heard anything,2
is he,2
no nothing,2
something no,2
find out,2
him that,2
i she,2
she nodded,2
t heard,2
not i,2
was nothing,2
time and,2
time he,2
him she,2
you been,2
been married,2
to karl,2
is karl,2
s my,2
months ago,2
to this,2
it here,2
born and,2
and raised,2
raised here,2
said yes,2
said flatly,2
what makes,2
makes horse,2
horse races,2
right she,2
the place,2
here i,2
like some,2
you all,2
take but,2
but a,2
you excuse,2
excuse me,2
me please,2
please she,2
kling rose,2
from where,2
where he,2
the one,2
paused they,2
very nice,2
mrs androvich,2
s she,2
kitchen table,2
table when,2
woke up,2
and flowers,2
were having,2
t he,2
he leave,2
the house,2
the florist,2
them delivered,2
red i,2
cheerful frame,2
detective fredericks,2
not he,2
that your,2
a slight,2
the right,2
the left,2
he tense,2
flowers i,2
i put,2
the breakfast,2
breakfast table,2
turned her,2
her head,2
at each,2
the living,2
three cups,2
kitchen she,2
out for,2
the butter,2
the cream,2
the sugar,2
the three,2
cream and,2
said do,2
it yes,2
the rolls,2
think you,2
him as,2
gone for,2
it sounds,2
think your,2
androvich i,2
you no,2
a quarrel,2
who s,2
quarrel sometimes,2
going back,2
all just,2
been uptown,2
the big,2
know where,2
a raincoat,2
androvich a,2
a what,2
why what,2
what color,2
color is,2
wear slacks,2
i never,2
where i,2
we could,2
we d,2
she stared,2
carella and,2
said at,2
you come,2
the bedroom,2
passed the,2
the closet,2
raincoat was,2
what this,2
make it,2
husband s,2
s habits,2
with karl,2
karl s,2
t do,2
you own,2
own a,2
not answer,2
dead she,2
did someone,2
it we,2
dead or,2
or alive,2
may i,2
it she,2
did your,2
on valentine,2
you first,2
was only,2
to hold,2
hold a,2
roses yes,2
me flowers,2
a you,2
i must,2
must have,2
not two,2
you report,2
no then,2
thought he,2
at six,2
seen him,2
you very,2
meg was,2
claire was,2
meg in,2
s hand,2
him the,2
entered the,2
wearing black,2
her waist,2
we checked,2
you feel,2
into this,2
when we,2
him i,2
know he,2
dame who,2
his lap,2
kissed her,2
m not,2
a how,2
me she,2
suddenly and,2
chair in,2
until monday,2
could get,2
right now,2
for i,2
they stood,2
get me,2
her arms,2
this moment,2
you really,2
bag for,2
then took,2
took off,2
man in,2
years of,2
to clear,2
examined the,2
reached the,2
the o,2
now he,2
not in,2
he found,2
surface of,2
of orange,2
chalk dust,2
a specimen,2
grossman s,2
been left,2
was simply,2
the slides,2
a corner,2
he then,2
s stain,2
using a,2
the human,2
inch in,2
in diameter,2
the mammalian,2
a precipitin,2
a chemical,2
the precipitin,2
reaction is,2
rabbit s,2
the proteins,2
identified as,2
woman s,2
designed to,2
the iceman,2
iceman s,2
s cart,2
cart on,2
on colby,2
colby avenue,2
avenue it,2
caught pneumonia,2
they had,2
down to,2
a cigarette,2
man you,2
s got,2
the floor,2
s voice,2
smiles politely,2
he says,2
a hobby,2
man at,2
this lousy,2
martha livingston,2
her son,2
second floor,2
said meyer,2
the cat,2
was going,2
belt he,2
thin man,2
the fire,2
fire escape,2
socks he,2
asked yeah,2
your friend,2
see if,2
man asked,2
permit for,2
yeah the,2
livingston meyer,2
asked you,2
worry about,2
your raincoat,2
come along,2
with us,2
her left,2
your eye,2
you talking,2
why d,2
is dead,2
dead is,2
why you,2
s dead,2
to report,2
report him,2
relief checks,2
nice lady,2
lady livingston,2
search warrant,2
the little,2
little man,2
can talk,2
kid you,2
to kid,2
say there,2
involved here,2
big juicy,2
juicy crime,2
serious lennie,2
the then,2
mean like,2
like because,2
martha s,2
lennie no,2
no hey,2
hey no,2
few sticks,2
so serious,2
about you,2
you never,2
never met,2
her last,2
last night,2
a crap,2
crap game,2
bought the,2
can check,2
hanging around,2
around with,2
i raised,2
to raise,2
raise a,2
he die,2
so easy,2
stink they,2
all stink,2
ed mcbain,1
mcbain give,1
boys a,1
great big,1
big hand,1
hand this,1
for phyllis,1
phyllis and,1
and rick,1
rick it,1
was raining,1
raining it,1
raining for,1
for three,1
three days,1
now an,1
an ugly,1
ugly march,1
march rain,1
that washed,1
washed the,1
the brilliance,1
brilliance of,1
of with,1
a monochromatic,1
monochromatic unrelenting,1
unrelenting gray,1
gray the,1
television forecasters,1
forecasters had,1
had correctly,1
correctly predicted,1
predicted rain,1
rain for,1
for today,1
today and,1
and estimated,1
estimated that,1
would rain,1
rain tomorrow,1
tomorrow also,1
also beyond,1
beyond that,1
not venture,1
venture an,1
an opinion,1
opinion but,1
it seemed,1
to patrolman,1
patrolman richard,1
genero that,1
raining forever,1
would continue,1
continue to,1
to rain,1
rain forever,1
that eventually,1
eventually he,1
be washed,1
washed away,1
away into,1
the gutters,1
gutters and,1
then carried,1
carried into,1
the sewers,1
sewers of,1
and dumped,1
dumped unceremoniously,1
unceremoniously with,1
other garbage,1
garbage into,1
into either,1
river harb,1
harb or,1
river dix,1
dix north,1
north or,1
or south,1
south it,1
damn bit,1
bit of,1
of difference,1
difference both,1
both rivers,1
rivers were,1
were polluted,1
polluted both,1
both stank,1
stank of,1
of human,1
human waste,1
waste like,1
man up,1
his ankles,1
ankles in,1
in water,1
water in,1
a rapidly,1
rapidly sinking,1
sinking rowboat,1
rowboat genero,1
genero stood,1
corner and,1
and surveyed,1
surveyed the,1
streets his,1
his rubber,1
rubber rain,1
rain cape,1
cape was,1
black and,1
and as,1
as shining,1
shining as,1
the asphalt,1
asphalt that,1
that stretched,1
stretched before,1
before him,1
still early,1
early afternoon,1
afternoon but,1
hardly a,1
a soul,1
soul in,1
in sight,1
sight and,1
and genero,1
felt lonely,1
lonely and,1
and deserted,1
deserted he,1
felt too,1
too as,1
only human,1
being in,1
city who,1
who didn,1
know enough,1
in out,1
rain i,1
to drown,1
drown here,1
goddamn streets,1
streets he,1
thought and,1
he belched,1
belched sourly,1
sourly consoling,1
consoling himself,1
himself with,1
be relieved,1
relieved on,1
on post,1
post at,1
at it,1
take him,1
him about,1
about five,1
get back,1
house and,1
and no,1
no more,1
than ten,1
ten minutes,1
change into,1
his street,1
street clothes,1
clothes figure,1
figure a,1
half hour,1
hour on,1
the subway,1
subway to,1
riverhead and,1
be home,1
home at,1
at he,1
he wouldn,1
to pick,1
pick up,1
up gilda,1
gilda until,1
until so,1
that gave,1
him time,1
time for,1
little nap,1
nap before,1
before dinner,1
dinner thinking,1
the nap,1
nap genero,1
genero yawned,1
yawned tilting,1
tilting his,1
head a,1
a drop,1
drop of,1
of cold,1
cold water,1
water ran,1
ran down,1
oh hell,1
hell out,1
out loud,1
loud and,1
then hurriedly,1
hurriedly glanced,1
glanced around,1
