N-gram,Count
to determine the,3
the hand had,3
a half inches,3
of the hand,3
the man s,3
and so he,3
the average layman,3
of the victim,3
one of them,3
the hand and,3
on the other,3
said i ve,3
i ve got,3
all carella said,3
can i do,3
carella said and,3
who did the,3
carella said but,3
that s why,3
for a moment,3
you don t,3
you aware that,3
why didn t,3
didn t you,3
bad for our,3
that s not,3
it was in,3
the kind of,3
when he was,3
that is to,3
is to say,3
we have our,3
and then we,3
of leg room,3
i m afraid,3
d like to,3
and the rain,3
missing persons bureau,3
in the city,3
we didn t,3
is just a,3
you want to,3
valentine s day,3
take a look,3
you think i,3
how do i,3
do i know,3
in love with,3
it s not,3
about it i,3
t know what,3
a person who,3
i haven t,3
how long have,3
long have you,3
you like it,3
i wanted to,3
back to atlanta,3
came back into,3
back into the,3
was a big,3
a big box,3
big box of,3
of candy on,3
candy on the,3
put them in,3
said would you,3
why do you,3
didn t quarrel,3
you have a,3
this is all,3
is that it,3
use a meat,3
meat cleaver on,3
was in the,3
whether or not,3
the bag he,3
on the bottom,3
in the bag,3
stain on the,3
mrs livingston carella,3
to get out,3
the interrogation room,3
let s say,3
what you mean,3
ain t so,3
had been raining,2
that it would,2
forever and that,2
of isola and,2
it didn t,2
stood on the,2
on the corner,2
was as black,2
him it was,2
but there was,2
if he were,2
in the entire,2
the entire city,2
of the rain,2
here in the,2
in the goddamn,2
the fact that,2
fact that he,2
to the station,2
the station house,2
had not been,2
t so bad,2
so bad he,2
he thought it,2
thought it s,2
he had found,2
had found in,2
in the basement,2
the boy s,2
the boy was,2
makes me itchy,2
let s face,2
s face it,2
now and then,2
a cop has,2
to find a,2
mean that s,2
he thought i,2
wish i was,2
the moment he,2
was a man,2
man with a,2
looked up from,2
up from his,2
who wants wine,2
wants wine genero,2
i wouldn t,2
it s a,2
how about that,2
this city you,2
cleaning and pressing,2
on a day,2
a day like,2
the old man,2
and that was,2
a man s,2
i m just,2
to the marrow,2
can t even,2
in a bar,2
outside the rain,2
said all right,2
all right it,2
yes sir genero,2
sir genero said,2
in the back,2
near the pressing,2
the pressing machine,2
you ll get,2
and i ll,2
nice of you,2
max genero said,2
when i m,2
i m ready,2
m ready for,2
said there s,2
there s nothing,2
but i m,2
instead of a,2
i love you,2
love you like,2
that s right,2
the bridge of,2
to the he,2
opening the door,2
closed the door,2
the door behind,2
door behind him,2
through the puddles,2
or perhaps the,2
the tall woman,2
it was difficult,2
was difficult to,2
the bus pulled,2
pulled to the,2
to the curb,2
the curb spreading,2
canopy of water,2
the bus and,2
away from the,2
and he began,2
when he saw,2
saw the bag,2
bus stop sign,2
yelled after the,2
picked up the,2
up the bag,2
the bag it,2
bag it was,2
was a small,2
small blue overnight,2
blue overnight bag,2
side of the,2
we circle the,2
attached to the,2
into it he,2
and then he,2
because he was,2
the word boys,2
with some of,2
have been a,2
day of the,2
time in the,2
leaned back in,2
back in his,2
in his swivel,2
his swivel chair,2
he said i,2
and then made,2
over to the,2
car and said,2
mayor s daughter,2
sitting on the,2
on the edge,2
the edge of,2
edge of the,2
the man or,2
had to admit,2
found their way,2
their way into,2
way into the,2
that he d,2
to bawl out,2
gave him a,2
the front seat,2
front seat with,2
tiny little bra,2
and said you,2
now how about,2
of the detectives,2
a growing boy,2
his father had,2
father had been,2
six feet two,2
feet two inches,2
looked at me,2
said and she,2
me and said,2
in a hurry,2
you re going,2
re going to,2
to give me,2
give it to,2
and she said,2
one of the,2
and it was,2
out of that,2
carella asked i,2
on the front,2
you re not,2
carella said you,2
i had to,2
put on the,2
but that s,2
that s just,2
s just what,2
a guy who,2
he said he,2
said he knew,2
he knew he,2
knew he was,2
and he had,2
it he said,2
said did you,2
you let him,2
let him go,2
that s i,2
i was a,2
give me a,2
me a ticket,2
me for a,2
nodding his head,2
then he said,2
he said that,2
said that s,2
that s it,2
said what do,2
just kept staring,2
in the world,2
i just knew,2
as i was,2
said you should,2
have known he,2
known he wasn,2
the bag in,2
middle of it,2
his mouth he,2
his head and,2
at the bag,2
into the bag,2
where d you,2
jesus get it,2
i ll call,2
ll call the,2
he could not,2
not look into,2
the bag again,2
it he did,2
did not have,2
not have to,2
he had been,2
and he knew,2
he knew instantly,2
a human body,2
now that s,2
pretty damn disgusting,2
let s get,2
you are one,2
are one of,2
of those people,2
those people who,2
a small spurt,2
small spurt of,2
spurt of dust,2
you know that,2
that death is,2
that it is,2
you have more,2
have more than,2
more than likely,2
sight of a,2
a part of,2
is nothing reassuring,2
of a man,2
is nothing beautiful,2
is nothing tender,2
cop you learn,2
ugly frightening and,2
a human hand,2
it at the,2
the medical examiner,2
medical examiner s,2
had been in,2
of the body,2
determine the race,2
probable height and,2
of the person,2
the person to,2
person to whom,2
the information on,2
race white sex,2
again it was,2
the sex of,2
centimeters from the,2
in the past,2
was covered with,2
a white male,2
got back to,2
back to work,2
to work again,2
examination of the,2
since he was,2
that he was,2
he turned to,2
turned to the,2
hand had been,2
severed slightly above,2
slightly above the,2
the radius and,2
radius and ulna,2
growth and fusion,2
what i am,2
if he had,2
he d had,2
a portion of,2
length of radius,2
so he didn,2
knowledge of the,2
an isoreaction test,2
blood group and,2
try to get,2
fingerprint impressions from,2
impressions from the,2
from the severed,2
severed hand in,2
off the hand,2
to take it,2
take it from,2
it from there,2
at his desk,2
up at the,2
carella said in,2
well i m,2
glad to hear,2
to hear that,2
hear that blaney,2
that blaney said,2
you fellows do,2
carella said well,2
it carella said,2
what can i,2
do for you,2
was an excellent,2
and very helpful,2
i wonder if,2
about the person,2
did the job,2
yes yes and,2
you ve been,2
could you tell,2
was it a,2
through those bones,2
it from the,2
you mean well,2
well would you,2
would you say,2
knowledge of anatomy,2
the logical place,2
i can t,2
you i don,2
t think i,2
and then the,2
is going to,2
i see carella,2
see carella said,2
know carella said,2
in any case,2
we re not,2
thought for a,2
the clerical office,2
was on the,2
a movie star,2
to understand genero,2
person who left,2
who left this,2
left this bag,2
this bag on,2
a man or,2
man or a,2
or a woman,2
genero yes sir,2
you can t,2
can t tell,2
sir i mean,2
yes sir i,2
but it was,2
of course i,2
they could have,2
and what did,2
what did you,2
did you do,2
when you saw,2
the bag on,2
you aware of,2
i wasn t,2
bag to the,2
genero i don,2
t know we,2
we talked to,2
was a person,2
he wanted to,2
yes that s,2
one of our,2
well it s,2
to the huge,2
on the fourth,2
that s the,2
and studied the,2
photo of the,2
it was an,2
bag had been,2
he paused again,2
into the newspapers,2
i was thinking,2
you know a,2
for our operation,2
that kind of,2
it might be,2
meyer said patiently,2
if there was,2
there was one,2
was in a,2
a virtue he,2
virtue he was,2
he was born,2
meyer s father,2
middle of a,2
they were both,2
meyer on the,2
the other hand,2
it in the,2
he learned that,2
learned that it,2
once when he,2
who would have,2
well they re,2
are given to,2
is that correct,2
flight which gives,2
then we have,2
the same accommodations,2
yes meyer said,2
inches of leg,2
leg room but,2
i see and,2
and then there,2
we re trying,2
re trying to,2
trying to do,2
thousands and thousands,2
me i mean,2
if you know,2
i d like,2
said thank you,2
for your time,2
across the room,2
the room to,2
to the door,2
at the beach,2
learned about a,2
a rain that,2
wet and cold,2
and cold and,2
he had not,2
to the missing,2
kling said dryly,2
between the ages,2
the ages of,2
ages of eighteen,2
of eighteen and,2
romeo ambrose said,2
don t get,2
look through the,2
we might have,2
might have to,2
said yeah kling,2
answered and he,2
the way you,2
over there near,2
there near the,2
near the window,2
forget all about,2
the february file,2
bartholdi said and,2
little more than,2
of the missing,2
he was studying,2
was studying the,2
that morning he,2
went down the,2
to be in,2
frame of mind,2
were looking for,2
psssssss bartholdi said,2
and he pulled,2
he pulled a,2
right in the,2
a man kling,2
man kling said,2
thanks kling said,2
huh carella said,2
carella said the,2
guy is a,2
reported him missing,2
were there any,2
deep into his,2
the hell was,2
a heart the,2
wanted to know,2
from the hand,2
a cup of,2
cup of coffee,2
like to take,2
to take a,2
a look at,2
we see this,2
middle of the,2
in one of,2
his coffee and,2
he read it,2
read it through,2
before we get,2
the master s,2
every time i,2
mean what the,2
it i guess,2
to marry her,2
s all carella,2
carella said oh,2
wish i could,2
you know i,2
i have to,2
i mean is,2
carella said yeah,2
all weekend he,2
it isn t,2
have you gone,2
you think he,2
say he s,2
said come on,2
let s go,2
i m a,2
it s just,2
was a blonde,2
five feet seven,2
feet seven and,2
seven and a,2
living room and,2
she was wearing,2
was wearing a,2
in the face,2
no no we,2
him that s,2
haven t heard,2
the morning he,2
morning he left,2
that was all,2
there was nothing,2
and i haven,2
you been married,2
do you like,2
like it here,2
you mean yes,2
was born and,2
born and raised,2
and raised here,2
s what makes,2
what makes horse,2
makes horse races,2
androvich carella said,2
all right she,2
right she said,2
she said i,2
would you like,2
won t take,2
t take but,2
take but a,2
but a minute,2
you excuse me,2
excuse me please,2
me please she,2
please she went,2
into the kitchen,2
she paused they,2
yes it was,2
s she paused,2
on the kitchen,2
the kitchen table,2
kitchen table when,2
left that s,2
no he was,2
cheerful frame of,2
he s a,2
that right and,2
was he tense,2
i put them,2
the breakfast table,2
she went out,2
staring at each,2
at each other,2
the living room,2
the kitchen she,2
carella said would,2
in the kitchen,2
said do you,2
i ll have,2
you think your,2
about going back,2
going back to,2
don t like,2
no i don,2
t know where,2
what color is,2
color is it,2
the raincoat and,2
she stared at,2
stared at carella,2
she said at,2
said at last,2
ll have to,2
on the way,2
the way to,2
there s the,2
what this is,2
is all about,2
about your husband,2
your husband s,2
got to do,2
to do with,2
do with karl,2
don t do,2
you own a,2
own a meat,2
she said what,2
did not answer,2
dead she said,2
it is that,2
what you re,2
dead or alive,2
isn t that,2
t that what,2
know i m,2
on valentine s,2
when you first,2
you said there,2
it was only,2
was only a,2
big enough to,2
enough to hold,2
to hold a,2
hold a dozen,2
so i bought,2
i must have,2
t you report,2
i thought he,2
there was no,2
in the morning,2
you very much,2
was wearing black,2
i told him,2
told him i,2
was a little,2
he s not,2
of a dame,2
a dame who,2
cleaver on a,2
on a man,2
i m not,2
do you want,2
back at the,2
at the squad,2
until monday morning,2
he said come,2
but he did,2
the bag was,2
severed hand and,2
the blood was,2
in the o,2
surface of the,2
of orange chalk,2
orange chalk dust,2
or not the,2
not the stain,2
the stain on,2
the stain was,2
in a corner,2
a corner of,2
an inch in,2
inch in diameter,2
the precipitin reaction,2
reaction is a,2
a woman s,2
under the iceman,2
the iceman s,2
iceman s cart,2
s cart on,2
cart on colby,2
on colby avenue,2
colby avenue it,2
carella said we,2
not a he,2
just a hobby,2
the man at,2
man at the,2
at the safe,2
said the man,2
don t tell,2
carella said meyer,2
who is it,2
livingston carella said,2
was going on,2
the fire escape,2
he was wearing,2
carella asked yeah,2
wanted to see,2
to see if,2
see if it,2
if it was,2
a permit for,2
permit for this,2
get out of,2
livingston meyer said,2
meyer said no,2
livingston said what,2
weren t you,2
lennie carella said,2
in your eye,2
you talking about,2
why d you,2
dead is that,2
he s dead,2
to report him,2
report him missing,2
a nice lady,2
i know my,2
how about it,2
meyer and carella,2
in the interrogation,2
try to kid,2
s say there,2
big juicy crime,2
not too serious,2
too serious lennie,2
you mean like,2
mean like because,2
lennie no no,2
no no hey,2
no hey no,2
just a few,2
a few sticks,2
just for kicks,2
you never met,2
met her last,2
her last night,2
a crap game,2
i bought the,2
you can check,2
how about me,2
hanging around with,2
it s the,2
s the same,2
to raise a,2
and i don,2
did he die,2
three years ago,2
t so easy,2
stink they all,2
they all stink,2
ed mcbain give,1
mcbain give the,1
give the boys,1
the boys a,1
boys a great,1
a great big,1
great big hand,1
big hand this,1
hand this is,1
this is for,1
is for phyllis,1
for phyllis and,1
phyllis and rick,1
and rick it,1
rick it was,1
it was raining,1
was raining it,1
raining it had,1
been raining for,1
raining for three,1
for three days,1
three days now,1
days now an,1
now an ugly,1
an ugly march,1
ugly march rain,1
march rain that,1
rain that washed,1
that washed the,1
washed the brilliance,1
the brilliance of,1
brilliance of with,1
of with a,1
with a monochromatic,1
a monochromatic unrelenting,1
monochromatic unrelenting gray,1
unrelenting gray the,1
gray the television,1
the television forecasters,1
television forecasters had,1
forecasters had correctly,1
had correctly predicted,1
correctly predicted rain,1
predicted rain for,1
rain for today,1
for today and,1
today and estimated,1
and estimated that,1
estimated that it,1
it would rain,1
would rain tomorrow,1
rain tomorrow also,1
tomorrow also beyond,1
also beyond that,1
beyond that they,1
that they would,1
they would not,1
would not venture,1
not venture an,1
venture an opinion,1
an opinion but,1
opinion but it,1
but it seemed,1
it seemed to,1
seemed to patrolman,1
to patrolman richard,1
patrolman richard genero,1
richard genero that,1
genero that it,1
that it had,1
been raining forever,1
raining forever and,1
and that it,1
it would continue,1
would continue to,1
continue to rain,1
to rain forever,1
rain forever and,1
and that eventually,1
that eventually he,1
eventually he would,1
would be washed,1
be washed away,1
washed away into,1
away into the,1
into the gutters,1
the gutters and,1
gutters and then,1
and then carried,1
then carried into,1
carried into the,1
into the sewers,1
the sewers of,1
sewers of isola,1
isola and dumped,1
and dumped unceremoniously,1
dumped unceremoniously with,1
unceremoniously with the,1
with the other,1
the other garbage,1
other garbage into,1
garbage into either,1
into either the,1
either the river,1
the river harb,1
river harb or,1
harb or the,1
or the river,1
the river dix,1
river dix north,1
dix north or,1
north or south,1
or south it,1
south it didn,1
didn t make,1
t make a,1
make a damn,1
a damn bit,1
damn bit of,1
bit of difference,1
of difference both,1
difference both rivers,1
both rivers were,1
rivers were polluted,1
were polluted both,1
polluted both stank,1
both stank of,1
stank of human,1
of human waste,1
human waste like,1
waste like a,1
like a man,1
a man up,1
man up to,1
up to his,1
to his ankles,1
his ankles in,1
ankles in water,1
in water in,1
water in a,1
in a rapidly,1
a rapidly sinking,1
rapidly sinking rowboat,1
sinking rowboat genero,1
rowboat genero stood,1
genero stood on,1
the corner and,1
corner and surveyed,1
and surveyed the,1
surveyed the streets,1
the streets his,1
streets his rubber,1
his rubber rain,1
rubber rain cape,1
rain cape was,1
cape was as,1
as black and,1
black and as,1
and as shining,1
as shining as,1
shining as the,1
as the asphalt,1
the asphalt that,1
asphalt that stretched,1
that stretched before,1
stretched before him,1
before him it,1
was still early,1
still early afternoon,1
early afternoon but,1
afternoon but there,1
there was hardly,1
was hardly a,1
hardly a soul,1
a soul in,1
soul in sight,1
in sight and,1
sight and genero,1
and genero felt,1
genero felt lonely,1
felt lonely and,1
lonely and deserted,1
and deserted he,1
deserted he felt,1
he felt too,1
felt too as,1
too as if,1
he were the,1
were the only,1
the only human,1
only human being,1
human being in,1
being in the,1
entire city who,1
city who didn,1
who didn t,1
didn t know,1
t know enough,1
know enough to,1
enough to come,1
to come in,1
come in out,1
in out of,1
the rain i,1
rain i m,1
going to drown,1
to drown here,1
drown here in,1
the goddamn streets,1
goddamn streets he,1
streets he thought,1
he thought and,1
thought and he,1
and he belched,1
he belched sourly,1
belched sourly consoling,1
sourly consoling himself,1
consoling himself with,1
himself with the,1
with the fact,1
that he would,1
would be relieved,1
be relieved on,1
relieved on post,1
on post at,1
post at it,1
at it would,1
it would take,1
would take him,1
take him about,1
him about five,1
about five minutes,1
five minutes to,1
minutes to get,1
to get back,1
get back to,1
station house and,1
house and no,1
and no more,1
no more than,1
more than ten,1
than ten minutes,1
ten minutes to,1
minutes to change,1
to change into,1
change into his,1
into his street,1
his street clothes,1
street clothes figure,1
clothes figure a,1
figure a half,1
a half hour,1
half hour on,1
hour on the,1
on the subway,1
the subway to,1
subway to riverhead,1
to riverhead and,1
riverhead and he,1
and he would,1
would be home,1
be home at,1
home at he,1
at he wouldn,1
he wouldn t,1
wouldn t have,1
have to pick,1
to pick up,1
pick up gilda,1
up gilda until,1
gilda until so,1
until so that,1
so that gave,1
that gave him,1
gave him time,1
him time for,1
time for a,1
for a little,1
a little nap,1
little nap before,1
nap before dinner,1
before dinner thinking,1
dinner thinking of,1
thinking of the,1
of the nap,1
the nap genero,1
nap genero yawned,1
genero yawned tilting,1
yawned tilting his,1
tilting his head,1
his head a,1
head a drop,1
a drop of,1
drop of cold,1
of cold water,1
cold water ran,1
water ran down,1
ran down his,1
down his neck,1
his neck and,1
neck and he,1
and he said,1
he said oh,1
said oh hell,1
oh hell out,1
hell out loud,1
out loud and,1
loud and then,1
and then hurriedly,1
then hurriedly glanced,1
hurriedly glanced around,1
glanced around him,1
around him to,1
him to make,1
to make sure,1
make sure he,1
sure he hadn,1
he hadn t,1
hadn t been,1
t been overheard,1
been overheard by,1
overheard by any,1
by any conscientious,1
any conscientious citizen,1
conscientious citizen of,1
citizen of the,1
of the city,1
the city satisfied,1
city satisfied that,1
satisfied that the,1
that the image,1
the image of,1
image of the,1
of the pure,1
the pure american,1
pure american had,1
american had not,1
not been destroyed,1
been destroyed genero,1
destroyed genero began,1
genero began walking,1
began walking up,1
walking up the,1
up the street,1
the street his,1
street his shoes,1
his shoes sloshing,1
shoes sloshing water,1
sloshing water every,1
water every inch,1
every inch of,1
inch of the,1
of the way,1
the way rain,1
way rain rain,1
rain rain go,1
rain go away,1
go away he,1
away he thought,1
he thought oddly,1
thought oddly the,1
oddly the rain,1
the rain persisted,1
rain persisted well,1
persisted well rain,1
well rain isn,1
rain isn t,1
isn t so,1
bad he thought,1
it s better,1
s better than,1
better than snow,1
than snow anyway,1
snow anyway the,1
anyway the thought,1
the thought made,1
thought made him,1
made him shudder,1
him shudder a,1
shudder a little,1
a little partially,1
little partially because,1
partially because the,1
because the very,1
the very thought,1
very thought of,1
thought of snow,1
of snow was,1
snow was a,1
was a chilling,1
a chilling one,1
chilling one and,1
one and partially,1
and partially because,1
partially because he,1
because he could,1
he could never,1
could never think,1
never think of,1
think of snow,1
of snow or,1
snow or winter,1
or winter without,1
winter without forming,1
without forming an,1
forming an immediate,1
an immediate association,1
immediate association with,1
association with the,1
with the boy,1
the boy he,1
boy he had,1
found in the,1
the basement so,1
basement so long,1
so long ago,1
long ago now,1
ago now cut,1
now cut that,1
cut that out,1
that out he,1
out he thought,1
it s bad,1
s bad enough,1
bad enough it,1
enough it s,1
it s raining,1
s raining we,1
raining we don,1
have to start,1
to start thinking,1
start thinking of,1
thinking of creepy,1
of creepy cadavers,1
creepy cadavers the,1
cadavers the boy,1
boy s face,1
s face had,1
face had been,1
had been blue,1
been blue really,1
blue really blue,1
really blue and,1
blue and he,1
and he d,1
he d been,1
d been leaning,1
been leaning forward,1
leaning forward on,1
forward on the,1
on the cot,1
the cot and,1
cot and it,1
and it had,1
it had taken,1
had taken genero,1
taken genero several,1
genero several moments,1
several moments to,1
moments to realize,1
to realize that,1
realize that a,1
that a rope,1
a rope was,1
rope was around,1
was around the,1
around the boy,1
boy s neck,1
s neck and,1
neck and that,1
and that the,1
that the boy,1
boy was dead,1
was dead listen,1
dead listen let,1
listen let s,1
let s not,1
s not even,1
not even think,1
even think about,1
about it it,1
it it makes,1
it makes me,1
me itchy well,1
itchy well listen,1
well listen you,1
listen you re,1
re a cop,1
a cop he,1
cop he reminded,1
he reminded himself,1
reminded himself what,1
himself what do,1
you think cops,1
think cops do,1
cops do turn,1
do turn off,1
turn off fire,1
off fire hydrants,1
fire hydrants all,1
hydrants all the,1
the time break,1
time break up,1
break up stickball,1
up stickball games,1
stickball games i,1
games i mean,1
i mean now,1
mean now let,1
now let s,1
face it every,1
it every now,1
and then a,1
then a cop,1
cop has got,1
has got to,1
got to find,1
find a stiff,1
a stiff listen,1
stiff listen this,1
listen this makes,1
this makes me,1
me itchy i,1
itchy i mean,1
i mean that,1
s what you,1
what you get,1
you get paid,1
get paid for,1
paid for man,1
for man i,1
man i mean,1
i mean let,1
mean let s,1
face it a,1
it a cop,1
cop has every,1
has every now,1
and then got,1
then got to,1
got to come,1
to come up,1
come up against,1
up against a,1
against a little,1
a little violence,1
little violence and,1
violence and besides,1
and besides that,1
besides that kid,1
that kid was,1
kid was a,1
was a long,1
long time ago,1
time ago all,1
ago all water,1
all water under,1
water under the,1
under the water,1
the water jesus,1
water jesus ain,1
jesus ain t,1
ain t it,1
t it never,1
it never going,1
never going to,1
going to stop,1
to stop raining,1
stop raining i,1
raining i m,1
i m getting,1
m getting out,1
getting out of,1
out of this,1
of this rain,1
this rain he,1
rain he thought,1
thought i m,1
m going over,1
going over to,1
over to max,1
to max s,1
max s tailor,1
s tailor shop,1
tailor shop and,1
shop and maybe,1
and maybe i,1
maybe i can,1
i can get,1
can get him,1
get him to,1
him to take,1
to take out,1
take out some,1
out some of,1
some of that,1
of that sweet,1
that sweet passover,1
sweet passover wine,1
passover wine and,1
wine and we,1
we ll drink,1
ll drink a,1
drink a toast,1
a toast to,1
toast to bermuda,1
to bermuda man,1
bermuda man i,1
man i wish,1
i was in,1
was in bermuda,1
in bermuda he,1
bermuda he walked,1
he walked down,1
walked down the,1
down the street,1
the street and,1
street and opened,1
and opened the,1
opened the door,1
the door to,1
door to the,1
to the tailor,1
the tailor shop,1
tailor shop a,1
shop a bell,1
a bell tinkled,1
bell tinkled the,1
tinkled the shop,1
the shop smelled,1
shop smelled of,1
smelled of steam,1
of steam and,1
steam and clean,1
and clean garments,1
clean garments genero,1
garments genero felt,1
genero felt better,1
felt better the,1
better the moment,1
moment he stepped,1
he stepped inside,1
stepped inside hello,1
inside hello max,1
hello max he,1
max he said,1
he said max,1
said max was,1
max was a,1
a man with,1
with a fringe,1
a fringe of,1
fringe of white,1
of white hair,1
white hair that,1
hair that clung,1
that clung to,1
clung to his,1
to his balding,1
his balding pate,1
balding pate like,1
pate like a,1
like a halo,1
a halo he,1
halo he looked,1
he looked up,1
from his sewing,1
his sewing machine,1
sewing machine and,1
machine and said,1
said i ain,1
got no who,1
no who wants,1
wine genero answered,1
genero answered grinning,1
answered grinning a,1
grinning a bit,1
a bit sheepishly,1
bit sheepishly would,1
sheepishly would you,1
would you kick,1
you kick me,1
kick me out,1
me out of,1
out of your,1
of your shop,1
your shop on,1
shop on a,1
on a miserable,1
a miserable day,1
miserable day like,1
like this on,1
this on any,1
on any day,1
any day miserable,1
day miserable or,1
miserable or otherwise,1
or otherwise i,1
otherwise i wouldn,1
wouldn t kick,1
t kick you,1
kick you out,1
you out mine,1
out mine shop,1
mine shop max,1
shop max said,1
max said so,1
said so don,1
so don t,1
don t make,1
t make wisecracks,1
make wisecracks but,1
wisecracks but i,1
but i warn,1
i warn you,1
warn you already,1
you already even,1
already even before,1
even before you,1
before you begin,1
you begin i,1
begin i ain,1
got no so,1
no so who,1
so who wants,1
wine genero said,1
genero said he,1
said he moved,1
he moved closer,1
moved closer to,1
closer to the,1
to the radiator,1
the radiator and,1
radiator and pulled,1
and pulled off,1
pulled off his,1
off his gloves,1
his gloves what,1
gloves what are,1
what are you,1
are you doing,1
you doing max,1
doing max what,1
max what does,1
what does it,1
does it look,1
it look like,1
look like i,1
like i m,1
i m doing,1
m doing i,1
doing i m,1
i m making,1
m making a,1
making a plan,1
a plan for,1
plan for the,1
for the white,1
the white house,1
white house i,1
house i m,1
going to blow,1
to blow it,1
blow it up,1
it up what,1
up what else,1
what else would,1
else would i,1
would i be,1
i be doing,1
be doing on,1
doing on a,1
on a sewing,1
a sewing machine,1
sewing machine i,1
machine i mean,1
mean what s,1
s that thing,1
that thing you,1
thing you re,1
you re working,1
re working on,1
working on it,1
on it s,1
s a salvation,1
a salvation army,1
salvation army uniform,1
army uniform max,1
uniform max said,1
max said yeah,1
said yeah how,1
yeah how about,1
about that there,1
that there s,1
there s still,1
s still a,1
still a fewtailors,1
a fewtailors left,1
fewtailors left in,1
left in this,1
in this city,1
city you know,1
you know max,1
know max said,1
max said it,1
said it ain,1
ain t by,1
t by all,1
by all of,1
all of us,1
of us a,1
us a matter,1
a matter of,1
matter of cleaning,1
of cleaning and,1
and pressing cleaning,1
pressing cleaning and,1
and pressing is,1
pressing is for,1
is for machines,1
for machines tailoring,1
machines tailoring is,1
tailoring is for,1
is for men,1
for men max,1
men max mandel,1
max mandel is,1
mandel is a,1
is a tailor,1
a tailor not,1
tailor not a,1
not a pressing,1
a pressing and,1
pressing and a,1
and a damn,1
a damn good,1
damn good tailor,1
good tailor genero,1
tailor genero said,1
genero said and,1
and he watched,1
he watched for,1
watched for max,1
for max s,1
max s reaction,1
s reaction i,1
reaction i still,1
i still ain,1
still ain t,1
got no wine,1
no wine max,1
wine max said,1
max said why,1
said why ain,1
why ain t,1
ain t you,1
t you in,1
you in the,1
the street stopping,1
street stopping crime,1
stopping crime already,1
crime already on,1
already on a,1
like this nobody,1
this nobody s,1
nobody s interested,1
s interested in,1
interested in crime,1
in crime genero,1
crime genero said,1
genero said the,1
said the only,1
the only crime,1
only crime going,1
crime going on,1
going on today,1
on today is,1
today is genero,1
is genero watched,1
genero watched max,1
watched max s,1
max s face,1
s face saw,1
face saw the,1
saw the quick,1
the quick gleam,1
quick gleam of,1
gleam of appreciation,1
of appreciation in,1
appreciation in the,1
in the old,1
old man s,1
man s eyes,1
s eyes and,1
eyes and grinned,1
and grinned he,1
grinned he was,1
he was getting,1
was getting closer,1
getting closer to,1
closer to that,1
to that wine,1
that wine all,1
wine all the,1
the time max,1
time max was,1
max was beginning,1
was beginning to,1
beginning to enjoy,1
to enjoy his,1
enjoy his jokes,1
his jokes and,1
jokes and that,1
that was a,1
was a good,1
a good sign,1
good sign now,1
sign now all,1
now all he,1
all he had,1
had to do,1
to do was,1
do was work,1
was work up,1
work up a,1
up a little,1
a little sympathy,1
little sympathy a,1
sympathy a rain,1
a rain like,1
rain like today,1
like today s,1
today s genero,1
s genero said,1
genero said it,1
said it seeps,1
it seeps right,1
seeps right into,1
right into a,1
into a man,1
man s bones,1
s bones right,1
bones right into,1
right into his,1
into his so,1
his so so,1
m just saying,1
just saying right,1
saying right to,1
the marrow and,1
marrow and the,1
and the worst,1
the worst part,1
worst part is,1
part is a,1
is a man,1
a man can,1
man can t,1
