N-gram,Count
said . we,3
persons bureau .,3
frame of mind,3
the street .,3
you want to,3
s day .,3
. oh ?,3
", steve ,",3
a heart .,3
. m .,3
take a look,3
you think i,3
"like that ,",3
said . no,3
how do i,3
do i know,3
i know ?,3
. so what,3
in love with,3
", what the",3
it s not,3
? i guess,3
", right ?",3
said . and,3
t know what,3
said . oh,3
", i ve",3
. all weekend,3
monday morning .,3
", steve .",3
let s go,3
a person who,3
"androvich , carella",3
all right ?,3
morning he left,3
she shrugged .,3
i haven t,3
how long have,3
long have you,3
you like it,3
", meg said",3
i wanted to,3
back to atlanta,3
a minute .,3
came back into,3
back into the,3
yes . it,3
was a big,3
a big box,3
big box of,3
of candy on,3
candy on the,3
yes . yes,3
. they were,3
red roses .,3
", yes .",3
put them in,3
in a vase,3
said . would,3
? she said,3
. but you,3
you have a,3
androvich ? yes,3
this is all,3
is that it,3
that it ?,3
use a meat,3
meat cleaver on,3
was in the,3
right ? yes,3
two dozen .,3
the apartment .,3
. i bought,3
whether or not,3
on the bottom,3
in the bag,3
stain on the,3
livingston ? carella,3
in the room,3
still raining .,3
. you got,3
to get out,3
mr . cronin,3
"lennie , meyer",3
"you , lennie",3
he s dead,3
the interrogation room,3
let s say,3
"too serious ,",3
"serious , lennie",3
a few sticks,3
ain t so,3
three years ago,3
. they all,3
it was raining,2
was raining .,2
raining . it,2
. it had,2
had been raining,2
that it would,2
"forever , and",2
of isola and,2
it didn t,2
stood on the,2
on the corner,2
was as black,2
him . it,2
", but there",2
but there was,2
if he were,2
in the entire,2
the entire city,2
here in the,2
in the goddamn,2
"he thought ,",2
the fact that,2
fact that he,2
to the station,2
the station house,2
a half hour,2
", so that",2
"said , oh",2
had not been,2
t so bad,2
"so bad ,",2
"bad , he",2
thought . it,2
"a little ,",2
he had found,2
had found in,2
in the basement,2
the boy s,2
the boy was,2
was dead .,2
makes me itchy,2
me itchy .,2
let s face,2
s face it,2
a cop has,2
to find a,2
"rain , he",2
". man ,",2
wish i was,2
tailor shop .,2
. the shop,2
the moment he,2
". hello ,",2
. max was,2
man with a,2
. he looked,2
looked up from,2
up from his,2
no wine .,2
who wants wine,2
wants wine ?,2
wine ? genero,2
i wouldn t,2
"max said ,",2
. but i,2
his gloves .,2
? what does,2
", what s",2
it s a,2
"uniform , max",2
? how about,2
how about that,2
about that ?,2
? there s,2
"this city ,",2
"city , you",2
cleaning and pressing,2
pressing machine .,2
"wine , max",2
said . why,2
? on a,2
on a day,2
a day like,2
"like this ,",2
the old man,2
the time .,2
and that was,2
"said , it",2
a man s,2
i m just,2
m just saying,2
just saying .,2
the marrow .,2
can t even,2
in a bar,2
", i mean",2
i mean .,2
went silent .,2
". outside ,",2
"outside , the",2
said . all,2
chills a man,2
"sir , genero",2
in the back,2
near the pressing,2
the pressing machine,2
", you ll",2
you ll get,2
and i ll,2
? genero asked,2
"go , go",2
nice of you,2
"of you ,",2
"max , genero",2
? he called,2
when i m,2
i m ready,2
m ready for,2
there s nothing,2
you say ?,2
"get out ,",2
instead of a,2
. go .,2
get lost .,2
. i love,2
i love you,2
love you like,2
that s right,2
to the bridge,2
the bridge of,2
the ship .,2
"the rain ,",2
get it ?,2
", will you",2
? what s,2
", opening the",2
opening the door,2
closed the door,2
the door behind,2
door behind him,2
behind him .,2
now . the,2
through the puddles,2
or perhaps the,2
the tall woman,2
it was difficult,2
was difficult to,2
bus stop .,2
the head and,2
the bus pulled,2
pulled to the,2
to the curb,2
"the curb ,",2
"curb , spreading",2
canopy of water,2
. the person,2
away from the,2
and he began,2
when he saw,2
saw the bag,2
bus stop sign,2
! he yelled,2
yelled after the,2
picked up the,2
up the bag,2
bag . it,2
was a small,2
"small , blue",2
", blue overnight",2
blue overnight bag,2
"overnight bag ,",2
. in a,2
side of the,2
circle airlines .,2
we circle the,2
circle the globe,2
the globe .,2
attached to the,2
spaces . the,2
into it .,2
and then he,2
because he was,2
. now you,2
the word boys,2
with some of,2
"there was ,",2
"s desk ,",2
"the squadroom ,",2
have been a,2
a high school,2
day of the,2
the squadroom .,2
. andy parker,2
time in the,2
"about him ,",2
leaned back in,2
back in his,2
"swivel chair ,",2
and then made,2
made a u,2
a u turn,2
over to the,2
car and said,2
", lady ,",2
mayor s daughter,2
sitting on the,2
on the edge,2
the edge of,2
edge of the,2
had to admit,2
"well , let",2
", a big",2
", he could",2
found their way,2
their way into,2
way into the,2
that he d,2
to bawl out,2
gave him a,2
the front seat,2
front seat with,2
a two piece,2
two piece costume,2
", parker said",2
"parker said ,",2
", and this",2
tiny little bra,2
. and for,2
"i know ,",2
", we got",2
. now how,2
of the detectives,2
a growing boy,2
at all .,2
six feet two,2
feet two inches,2
looked at me,2
at me and,2
me and said,2
a hurry .,2
you re going,2
re going to,2
to give me,2
give it to,2
and she said,2
one of the,2
", she was",2
. and it,2
and it was,2
out of that,2
"ticket , and",2
", and all",2
on the front,2
! you re,2
you re not,2
i had to,2
put on the,2
. i got,2
"no , but",2
but that s,2
that s just,2
s just what,2
a guy who,2
he said he,2
said he knew,2
he knew he,2
knew he was,2
and he had,2
"it , he",2
you let him,2
let him go,2
". hell ,",2
. i just,2
all . i,2
. this was,2
i was a,2
", and when",2
give me a,2
me a ticket,2
? so i,2
me for a,2
"long time ,",2
nodding his head,2
then he said,2
"said , that",2
that s it,2
"s it ,",2
? that s,2
"said , what",2
", mister ?",2
just kept staring,2
in the world,2
i just knew,2
as i was,2
have known he,2
known he wasn,2
wasn t kidding,2
t kidding .,2
"eyes , and",2
the bag in,2
middle of it,2
his mouth .,2
mouth . he,2
his head and,2
at the bag,2
. he seemed,2
into the bag,2
where d you,2
kling asked .,2
"jesus , get",2
i ll call,2
ll call the,2
call the morgue,2
he could not,2
not look into,2
the bag again,2
bag again .,2
said again .,2
did not have,2
not have to,2
have to .,2
he had been,2
and he knew,2
he knew instantly,2
a human body,2
. now that,2
now that s,2
pretty damn disgusting,2
let s get,2
", and there",2
you are one,2
are one of,2
of those people,2
those people who,2
a small spurt,2
small spurt of,2
spurt of dust,2
for you .,2
you know that,2
that death is,2
human being .,2
. you have,2
"you have ,",2
"have , more",2
", more than",2
more than likely,2
"than likely ,",2
sight of a,2
", no matter",2
is nothing reassuring,2
of a man,2
is nothing beautiful,2
", man or",2
is nothing tender,2
", you learn",2
"is ugly ,",2
and disgusting .,2
"ugly , frightening",2
", frightening ,",2
a human hand,2
it at the,2
"blaney , a",2
the medical examiner,2
medical examiner s,2
had been in,2
. and that,2
of the body,2
determine the race,2
of the person,2
the person to,2
person to whom,2
the job .,2
to work .,2
", the hand",2
the information on,2
race white .,2
white . sex,2
the sex of,2
a hand .,2
hand . in,2
one . it,2
centimeters from the,2
", nonetheless ,",2
in the past,2
and he did,2
was covered with,2
. sex male,2
sex male .,2
"well , we",2
a white male,2
got back to,2
back to work,2
to work again,2
work again .,2
examination of the,2
since he was,2
one . he,2
"he knew ,",2
that he was,2
he turned to,2
turned to the,2
hand had been,2
severed slightly above,2
slightly above the,2
above the wrist,2
the radius and,2
radius and ulna,2
"well , he",2
growth and fusion,2
"male , and",2
what i am,2
be damned .,2
"the victim ,",2
if he had,2
", if he",2
he d had,2
a portion of,2
"one , the",2
. plus .,2
plus . times,2
length of radius,2
of radius .,2
so he didn,2
knowledge of the,2
the hand and,2
an isoreaction test,2
try to get,2
fingerprint impressions from,2
impressions from the,2
from the severed,2
"that hand ,",2
off the hand,2
to take it,2
take it from,2
it from there,2
from there .,2
. he took,2
at his desk,2
". blaney ,",2
", this is",2
up at the,2
at the th,2
. i ve,2
said . in,2
very helpful .,2
glad to hear,2
to hear that,2
"that , blaney",2
"the th ,",2
know . you,2
you fellows do,2
"well , thank",2
"it , carella",2
. i wish,2
. what can,2
what can i,2
do for you,2
was an excellent,2
", and very",2
and very helpful,2
. but there,2
one thing .,2
yes ? i,2
i wonder if,2
about the person,2
. . yes,2
. but what,2
the perpetrator ?,2
", the man",2
you ve been,2
mean ? it,2
could you tell,2
"well , the",2
would say .,2
. was it,2
was it a,2
through those bones,2
those bones .,2
it from the,2
mean ? well,2
"well , would",2
knowledge of anatomy,2
t think so,2
the logical place,2
can you ?,2
you ? i,2
t think i,2
? you ve,2
", carella .",2
and then the,2
. but if,2
is going to,2
the hand ?,2
"i see ,",2
"see , carella",2
. and sometimes,2
"know , carella",2
. in any,2
in any case,2
"any case ,",2
we re not,2
hung up .,2
thought for a,2
the clerical office,2
of coffee .,2
was on the,2
", he supposed",2
a movie star,2
"to understand ,",2
"understand , genero",2
", genero ,",2
person who left,2
who left this,2
left this bag,2
this bag on,2
a man or,2
man or a,2
or a woman,2
you can t,2
can t tell,2
but it was,2
raining . so,2
"an umbrella ,",2
of course i,2
they could have,2
"wear , sir",2
sir . or,2
and what did,2
what did you,2
did you do,2
when you saw,2
the bag on,2
the sidewalk ?,2
bag . and,2
. and when,2
. . i,2
n . .,2
you aware of,2
", i wasn",2
i wasn t,2
"the time ,",2
. i am,2
bag to the,2
", are you",2
"all this ,",2
genero ? i,2
"know , sir",2
", frick said",2
frick said .,2
at two thirty,2
two thirty was,2
we talked to,2
was a person,2
. why didn,2
. i was,2
to the lab,2
he wanted to,2
"yes , that",2
one of our,2
said . nice,2
. yes .,2
no . a,2
to the huge,2
on the fourth,2
. damn rain,2
"damn rain ,",2
. bad for,2
. can t,2
we can fly,2
all right .,2
that s the,2
. the minute,2
and studied the,2
photo of the,2
it was an,2
bag had been,2
", what about",2
of them .,2
", not exactly",2
. . ?,2
he paused .,2
he paused again,2
into the newspapers,2
the newspapers ?,2
"it , meyer",2
", and so",2
i was thinking,2
. . you,2
that kind of,2
you ? it,2
it might be,2
meyer said patiently,2
if there was,2
there was one,2
", a virtue",2
a virtue he,2
virtue he was,2
he was born,2
meyer s father,2
"you see ,",2
middle of a,2
"yes , he",2
"a possibility ,",2
they were both,2
. the baby,2
". meyer ,",2
the other hand,2
"other hand ,",2
", and if",2
", he learned",2
he learned that,2
learned that it,2
. sometimes it,2
", meyer meyer",2
. on the,2
", who would",2
who would have,2
mr . piat,2
"well , they",2
", they re",2
are given to,2
the operation .,2
is that correct,2
that correct ?,2
not exactly .,2
. we have,2
you see .,2
", which gives",2
"in short ,",2
then we have,2
first class flight,2
the same accommodations,2
our tourist flight,2
"tourist flight ,",2
"yes , meyer",2
inches of leg,2
"room , but",2
", but the",2
and then there,2
. we re,2
we re trying,2
re trying to,2
trying to do,2
"? oh ,",2
luxury or first,2
or first class,2
thousands and thousands,2
. forgive me,2
. is there,2
if you know,2
i d like,2
said . thank,2
for your time,2
. not at,2
not at all,2
across the room,2
the room to,2
to the door,2
. rain .,2
", he used",2
learned about a,2
rain . he,2
. he learned,2
a rain that,2
wet and cold,2
he had not,2
to the missing,2
kling said dryly,2
said dryly .,2
between the ages,2
the ages of,2
ages of eighteen,2
of eighteen and,2
eighteen and twenty,2
and twenty four,2
", mike ,",2
"mike , bartholdi",2
", bartholdi answered",2
don t get,2
look through the,2
we might have,2
might have to,2
and then .,2
", kling .",2
"yeah , kling",2
", kling answered",2
"answered , and",2
the way you,2
bubbles caesar .,2
over there near,2
there near the,2
near the window,2
the window .,2
"a boy ,",2
forget all about,2
the february file,2
"bartholdi said ,",2
little more than,2
of the missing,2
he was studying,2
was studying the,2
went down the,2
to be in,2
were looking for,2
asked . well,2
. we ll,2
". psssssss ,",2
"psssssss , bartholdi",2
and he pulled,2
he pulled a,2
. yeah .,2
right in the,2
"a man ,",2
"man , kling",2
". thanks ,",2
"thanks , kling",2
huh ? carella,2
"listen , i",2
with me ?,2
guy is a,2
reported him missing,2
him missing .,2
"fine , kling",2
were there any,2
"? okay ,",2
", thanks ,",2
". now ,",2
deep into his,2
", tried to",2
the hell was,2
? i wish,2
are you ?,2
", come on",2
heart . the,2
the curb .,2
a . m,2
kept you ?,2
you ? kling,2
wanted to know,2
to know .,2
from the hand,2
a cup of,2
cup of coffee,2
like to take,2
to take a,2
a look at,2
we see this,2
. you think,2
middle of the,2
in one of,2
his coffee and,2
he read it,2
read it through,2
. this is,2
. claire s,2
before we get,2
. kling shrugged,2
kling shrugged .,2
. how do,2
the master s,2
every time i,2
her . she,2
i do ?,2
with her .,2
not . well,2
can t .,2
"well , there",2
you are .,2
sure . i,2
"i do ,",2
steve ? i,2
to marry her,2
"marry her ,",2
"jesus , i",2
paused again .,2
again . well,2
", there s",2
is . .,2
like it .,2
", i don",2
"s all ,",2
"oh , i",2
", i am",2
i am .,2
", we are",2
wish i could,2
i have to,2
", but i",2
"her , and",2
it that way,2
weekend ? carella,2
all weekend ?,2
. will you,2
. you ll,2
on monday morning,2
have you gone,2
". sure ,",2
. or did,2
a big man,2
big man .,2
i m a,2
"or anything ,",2
it s just,2
well . .,2
five feet seven,2
feet seven and,2
seven and a,2
"living room ,",2
she was wearing,2
was wearing a,2
in the face,2
? she asked,2
. have you,2
"no , nothing",2
something ? no,2
haven t heard,2
the morning he,2
that was all,2
was all .,2
there was nothing,2
and i haven,2
him since .,2
you been married,2
no . he,2
do you like,2
like it here,2
"the city ,",2
mean ? yes,2
yes . do,2
", i was",2
was born and,2
born and raised,2
and raised here,2
"raised here ,",2
said flatly .,2
s what makes,2
what makes horse,2
makes horse races,2
"horse races ,",2
"right , she",2
to atlanta .,2
me . i,2
here . i,2
would you like,2
"some coffee ,",2
meg said .,2
. i think,2
won t take,2
t take but,2
take but a,2
but a minute,2
you excuse me,2
"excuse me ,",2
"me , please",2
please ? she,2
? she went,2
into the kitchen,2
. kling rose,2
said . that,2
paused . they,2
"you , mrs",2
on the kitchen,2
the kitchen table,2
kitchen table when,2
woke up .,2
. and flowers,2
were having breakfast,2
breakfast ? yes,2
no . no,2
"no , he",2
cheerful frame of,2
he s a,2
the left eye,2
left eye .,2
say ? he,2
yes . was,2
. was he,2
was he tense,2
i put them,2
a vase .,2
table ? yes,2
the breakfast table,2
. did he,2
she went out,2
staring at each,2
at each other,2
each other .,2
. she came,2
the living room,2
"the kitchen ,",2
"kitchen , she",2
in the kitchen,2
said . do,2
it ? yes,2
"thank you ,",2
", i ll",2
i ll have,2
you think your,2
", did you",2
did you ?,2
"no , we",2
", detective carella",2
quarrel sometimes ?,2
sometimes ? yes,2
about going back,2
going back to,2
all . just,2
don t like,2
been uptown ?,2
? where the,2
t know where,2
why ? what,2
what color is,2
color is it,2
why ? do,2
wear slacks ?,2
the umbrella .,2
she stared at,2
stared at carella,2
she said at,2
said at last,2
"the bedroom ,",2
ll have to,2
on the way,2
the way to,2
there s the,2
what this is,2
is all about,2
all about ?,2
about your husband,2
your husband s,2
got to do,2
to do with,2
do with karl,2
do you own,2
you own a,2
own a meat,2
"meat cleaver ,",2
did not answer,2
not answer .,2
it ? is,2
androvich . do,2
what you re,2
dead or alive,2
what happened ?,2
. isn t,2
isn t that,2
t that what,2
you ? she,2
on valentine s,2
when you first,2
. you said,2
you said there,2
it was in,2
it was only,2
was only a,2
red roses ?,2
big enough to,2
enough to hold,2
to hold a,2
hold a dozen,2
roses ? yes,2
so i bought,2
"red roses ,",2
", a dozen",2
"yes , yes",2
dozen . i,2
. i must,2
i must have,2
t you report,2
", he then",2
", but then",2
? i thought,2
i thought he,2
. the room,2
there was no,2
. my husband,2
in the morning,2
and left .,2
you very much,2
. you were,2
. meg was,2
". meg ,",2
"meg , in",2
was wearing black,2
. we checked,2
go ahead .,2
? later .,2
i told him,2
told him i,2
was a little,2
know ? he,2
"the morning ,",2
he s not,2
of a dame,2
a dame who,2
cleaver on a,2
on a man,2
. come here,2
here . she,2
his lap .,2
i m not,2
? i wanted,2
am i ?,2
do you want,2
back at the,2
at the squad,2
until monday morning,2
", and what",2
for it .,2
a movie .,2
. they stood,2
"the room ,",2
said . come,2
", she answered",2
she answered .,2
"each other ,",2
"this moment ,",2
but he did,2
. you really,2
the bag was,2
"isoreaction test ,",2
the blood was,2
in the o,2
bag . he,2
surface of the,2
of orange chalk,2
orange chalk dust,2
or not the,2
not the stain,2
the stain on,2
the stain was,2
in a corner,2
a corner of,2
the slide .,2
an inch in,2
inch in diameter,2
in diameter .,2
. the precipitin,2
the precipitin reaction,2
reaction is a,2
a woman s,2
under the iceman,2
the iceman s,2
iceman s cart,2
s cart on,2
cart on colby,2
on colby avenue,2
colby avenue .,2
avenue . it,2
"? yeah ,",2
. the announcer,2
smiles politely .,2
not a safe,2
a safe cracker,2
", he says",2
he says .,2
just a hobby,2
the man at,2
man at the,2
at the safe,2
don t tell,2
. the woman,2
said . meyer,2
who is it,2
. the silence,2
was going on,2
belt . he,2
the fire escape,2
he was wearing,2
socks . he,2
asked . yeah,2
wanted to see,2
to see if,2
see if it,2
if it was,2
was still raining,2
a permit for,2
permit for this,2
get out of,2
"nothing , lennie",2
? meyer said,2
. okay ?,2
. a black,2
weren t you,2
in your eye,2
you talking about,2
why d you,2
dead . is,2
to report him,2
report him missing,2
relief checks .,2
a nice lady,2
"nice lady ,",2
"lennie , carella",2
i know my,2
know my rights,2
how about it,2
"about it ,",2
meyer and carella,2
in the interrogation,2
try to kid,2
s say there,2
what you mean,2
big juicy crime,2
"okay , i",2
not too serious,2
. then what,2
? you mean,2
you mean like,2
mean like because,2
lennie ? no,2
"no , hey",2
", hey ,",2
"hey , no",2
just a few,2
just for kicks,2
for kicks .,2
you never met,2
met her last,2
her last night,2
i bought them,2
a crap game,2
t you ?,2
right ? yeah,2
? yeah .,2
i bought the,2
you can check,2
got a record,2
how about me,2
about me ?,2
nothing serious .,2
hanging around with,2
. i raised,2
it s the,2
s the same,2
to raise a,2
and i don,2
did he die,2
? three years,2
years ago .,2
t so easy,2
stink . they,2
they all stink,2
all stink .,2
ed mcbain give,1
mcbain give the,1
give the boys,1
the boys a,1
boys a great,1
a great big,1
great big hand,1
big hand this,1
hand this is,1
this is for,1
is for phyllis,1
for phyllis and,1
phyllis and rick,1
and rick it,1
rick it was,1
been raining for,1
raining for three,1
for three days,1
three days now,1
"days now ,",1
"now , an",1
", an ugly",1
an ugly march,1
ugly march rain,1
march rain that,1
rain that washed,1
that washed the,1
washed the brilliance,1
the brilliance of,1
brilliance of near,1
of near spring,1
near spring with,1
spring with a,1
with a monochromatic,1
"a monochromatic ,",1
"monochromatic , unrelenting",1
", unrelenting gray",1
unrelenting gray .,1
gray . the,1
. the television,1
the television forecasters,1
television forecasters had,1
forecasters had correctly,1
had correctly predicted,1
correctly predicted rain,1
predicted rain for,1
rain for today,1
for today and,1
today and estimated,1
and estimated that,1
estimated that it,1
it would rain,1
would rain tomorrow,1
rain tomorrow also,1
tomorrow also .,1
also . beyond,1
. beyond that,1
"beyond that ,",1
"that , they",1
", they would",1
they would not,1
would not venture,1
not venture an,1
venture an opinion,1
an opinion .,1
opinion . but,1
but it seemed,1
it seemed to,1
seemed to patrolman,1
to patrolman richard,1
patrolman richard genero,1
richard genero that,1
genero that it,1
that it had,1
been raining forever,1
"raining forever ,",1
and that it,1
it would continue,1
would continue to,1
continue to rain,1
to rain forever,1
"rain forever ,",1
and that eventually,1
that eventually he,1
eventually he would,1
would be washed,1
be washed away,1
washed away into,1
away into the,1
into the gutters,1
the gutters and,1
gutters and then,1
and then carried,1
then carried into,1
carried into the,1
into the sewers,1
the sewers of,1
sewers of isola,1
isola and dumped,1
and dumped unceremoniously,1
dumped unceremoniously with,1
unceremoniously with the,1
with the other,1
the other garbage,1
other garbage into,1
garbage into either,1
into either the,1
either the river,1
the river harb,1
river harb or,1
harb or the,1
or the river,1
the river dix,1
river dix .,1
dix . north,1
. north or,1
north or south,1
"or south ,",1
"south , it",1
", it didn",1
didn t make,1
t make a,1
make a damn,1
a damn bit,1
damn bit of,1
bit of difference,1
of difference both,1
difference both rivers,1
both rivers were,1
rivers were polluted,1
were polluted both,1
polluted both stank,1
both stank of,1
stank of human,1
of human waste,1
human waste .,1
waste . like,1
. like a,1
like a man,1
a man up,1
man up to,1
up to his,1
to his ankles,1
his ankles in,1
ankles in water,1
in water in,1
water in a,1
in a rapidly,1
a rapidly sinking,1
rapidly sinking rowboat,1
"sinking rowboat ,",1
"rowboat , genero",1
", genero stood",1
genero stood on,1
the corner and,1
corner and surveyed,1
and surveyed the,1
surveyed the near,1
the near empty,1
near empty streets,1
empty streets .,1
streets . his,1
. his rubber,1
his rubber rain,1
rubber rain cape,1
rain cape was,1
cape was as,1
as black and,1
black and as,1
and as shining,1
