N-gram,Count
did the,4
"course ,",4
for this,4
you tell,4
would say,4
it a,4
can you,4
? do,4
"see ,",4
not .,4
? maybe,4
maybe .,4
a moment,4
of coffee,4
bag on,4
t tell,4
then what,4
what was,4
you didn,4
"boy ,",4
"something ,",4
the lab,4
of our,4
for our,4
the minute,4
something ?,4
meyer .,4
a .,4
. will,4
was born,4
you see,4
"meyer ,",4
he learned,4
these bags,4
", mr",4
"say ,",4
first class,4
on one,4
years ago,4
if it,4
d like,4
. as,4
"there ,",4
they all,4
", either",4
persons bureau,4
detective kling,4
? who,4
might have,4
all about,4
went out,4
little more,4
face .,4
yeah .,4
street .,4
", huh",4
huh ?,4
are the,4
"thanks ,",4
with me,4
valentine s,4
s day,4
him missing,4
? claire,4
corner .,4
"carella ,",4
a heart,4
so what,4
ll have,4
before we,4
"coffee ,",4
. let,4
came back,4
won t,4
to marry,4
master s,4
in love,4
with her,4
steve ?,4
i have,4
"married ,",4
weekend .,4
"mind ,",4
all weekend,4
monday morning,4
"moment ,",4
karl ?,4
she shrugged,4
", please",4
please ?,4
she went,4
roses .,4
was he,4
put them,4
apartment .,4
t quarrel,4
. karl,4
raincoat and,4
at carella,4
the bed,4
you said,4
dozen .,4
left .,4
. meg,4
corner of,4
human blood,4
an inch,4
? yeah,4
a permit,4
lennie .,4
", cronin",4
cronin said,4
is for,3
the television,3
would not,3
seemed to,3
the river,3
or the,3
make a,3
a damn,3
. like,3
the corner,3
was as,3
as the,3
were the,3
enough to,3
fact that,3
at .,3
minutes to,3
clothes .,3
gave him,3
him to,3
city .,3
way .,3
made him,3
because he,3
think of,3
the basement,3
we don,3
and it,3
think about,3
", now",3
every now,3
you get,3
"for ,",3
"ago ,",3
water .,3
max s,3
tailor shop,3
"wine ,",3
the moment,3
"max ,",3
. max,3
up from,3
i ain,3
no wine,3
. who,3
", grinning",3
? on,3
", even",3
off his,3
max ?,3
what does,3
house .,3
on ?,3
about that,3
? there,3
pressing machine,3
you in,3
saw the,3
s eyes,3
a rain,3
so nothing,3
the marrow,3
"is ,",3
t even,3
a bar,3
. thanks,3
silent .,3
already .,3
the wine,3
the back,3
ll get,3
if i,3
back .,3
the bottle,3
mind .,3
went into,3
of wine,3
the small,3
his mouth,3
called .,3
very good,3
"good ,",3
ready for,3
what is,3
is there,3
said there,3
of my,3
. one,3
one day,3
to put,3
lost .,3
shook his,3
me a,3
difficult to,3
stop .,3
was impossible,3
impossible to,3
black .,3
"raincoat ,",3
the head,3
away from,3
he saw,3
walked to,3
", blue",3
by an,3
side of,3
into it,3
his hand,3
hand in,3
was suddenly,3
the detective,3
you may,3
men who,3
"two ,",3
went to,3
"perhaps ,",3
parker s,3
"desk ,",3
the day,3
about him,3
know the,3
nodded .,3
the car,3
", lady",3
his coffee,3
eye .,3
. on,3
out the,3
the front,3
", parker",3
parker said,3
i did,3
you just,3
over a,3
coffee .,3
. hawes,3
his father,3
", for",3
two inches,3
looked at,3
me and,3
m in,3
to give,3
give me,3
"ticket ,",3
to me,3
just about,3
to catch,3
and my,3
t take,3
take the,3
this way,3
a guy,3
before he,3
the squad,3
? hawes,3
but that,3
just what,3
guy who,3
who was,3
a gun,3
then the,3
other .,3
said he,3
"hell ,",3
", hawes",3
him he,3
you going,3
a ticket,3
back at,3
you a,3
then .,3
", mister",3
staring at,3
just knew,3
as i,3
should have,3
eyes .,3
"kling ,",3
look at,3
the corridor,3
"got ,",3
his face,3
face was,3
eyes were,3
", jesus",3
kling asked,3
thing .,3
the morgue,3
. take,3
take it,3
not have,3
disgusting .,3
is not,3
not the,3
know that,3
because you,3
", because",3
has a,3
the sight,3
a corpse,3
no matter,3
matter how,3
man who,3
the face,3
"ugly ,",3
"frightening ,",3
and disgusting,3
bag was,3
it at,3
medical examiner,3
", how",3
weight of,3
job .,3
. with,3
hand had,3
. sex,3
"knew ,",3
"male ,",3
. her,3
"bones ,",3
", with",3
centimeters from,3
half inches,3
such a,3
was covered,3
", studying",3
at last,3
last .,3
male .,3
white male,3
", further",3
from a,3
growth and,3
age .,3
the bones,3
the radius,3
the average,3
through a,3
close to,3
one and,3
картинка image,3
image .,3
. jpg,3
hand and,3
it for,3
isoreaction test,3
grossman was,3
was no,3
. detective,3
he took,3
the next,3
ve got,3
your report,3
. nothing,3
very helpful,3
helpful .,3
hear that,3
you fellows,3
", thank",3
this time,3
what can,3
do for,3
carella ?,3
an excellent,3
what about,3
", after",3
ve been,3
sort of,3
either a,3
was it,3
there were,3
the logical,3
"before ,",3
much .,3
s why,3
"case ,",3
with his,3
and asked,3
. am,3
am i,3
"understand ,",3
you don,3
an umbrella,3
you do,3
aware that,3
genero .,3
aware of,3
all this,3
talked to,3
"person ,",3
why didn,3
and left,3
lieutenant byrnes,3
told him,3
for it,3
you take,3
of rain,3
. damn,3
bad for,3
we get,3
afraid .,3
. piat,3
kling answered,3
? oh,3
paused again,3
a pretty,3
be very,3
a virtue,3
", at",3
s father,3
the kind,3
", when",3
"possibility ,",3
while he,3
the family,3
and if,3
"patiently ,",3
to stand,3
is to,3
. these,3
"flights ,",3
have our,3
which gives,3
then we,3
tourist flight,3
inches of,3
of leg,3
leg room,3
but the,3
then there,3
m afraid,3
when did,3
? at,3
there any,3
not at,3
meyer and,3
as they,3
. once,3
he read,3
", bert",3
bert kling,3
what it,3
either .,3
who is,3
kling ?,3
looking for,3
and twenty,3
twenty four,3
", romeo",3
said to,3
", mike",3
in here,3
t get,3
who d,3
look through,3
t that,3
? if,3
if we,3
we didn,3
a more,3
this morning,3
. good,3
a dame,3
bubbles caesar,3
window .,3
she came,3
in her,3
a boy,3
was somewhat,3
bureau .,3
frame of,3
of mind,3
he pulled,3
bag ?,3
"sure ,",3
"fine ,",3
were there,3
oh ?,3
okay ?,3
", come",3
"steve ,",3
heart .,3
. m,3
m .,3
to know,3
a look,3
does she,3
the coffee,3
in one,3
. while,3
coffee and,3
", nothing",3
. claire,3
until monday,3
. which,3
the weekend,3
do i,3
s .,3
love with,3
so .,3
are .,3
", right",3
have no,3
is .,3
that way,3
"off ,",3
weekend ?,3
steve .,3
or did,3
big enough,3
s go,3
not that,3
or anything,3
living room,3
out a,3
what happened,3
morning he,3
here ?,3
was all,3
i haven,3
long have,3
atlanta .,3
", meg",3
meg said,3
i wanted,3
to atlanta,3
place .,3
i get,3
some coffee,3
i think,3
a minute,3
back into,3
a nice,3
big box,3
candy on,3
later .,3
breakfast ?,3
the house,3
at six,3
you told,3
i told,3
do with,3
the flowers,3
and carella,3
butter .,3
did i,3
to him,3
detective carella,3
about going,3
because i,3
you ever,3
? not,3
a raincoat,3
a black,3
one ?,3
red .,3
the raincoat,3
the umbrella,3
umbrella .,3
made the,3
way to,3
is all,3
about ?,3
about your,3
cleaver on,3
my husband,3
cleaver ?,3
only a,3
roses ?,3
he then,3
"dead ,",3
the two,3
why .,3
. steve,3
she answered,3
alone .,3
whether or,3
or not,3
blood was,3
orange chalk,3
stain on,3
stain was,3
the second,3
onto the,3
the slide,3
", waiting",3
precipitin reaction,3
saturday .,3
a safe,3
the safe,3
the announcer,3
safe cracker,3
the woman,3
the silence,3
still raining,3
were you,3
about me,3
in your,3
talking about,3
s dead,3
the interrogation,3
interrogation room,3
s say,3
could be,3
too serious,3
a few,3
few sticks,3
just for,3
for kicks,3
met her,3
", your",3
your son,3
three years,3
stink .,3
give the,2
was raining,2
been raining,2
", an",2
they would,2
richard genero,2
"forever ,",2
of isola,2
isola and,2
either the,2
it didn,2
t make,2
stood on,2
his rubber,2
as black,2
was hardly,2
genero felt,2
he felt,2
he were,2
entire city,2
come in,2
"thought ,",2
"sourly ,",2
the fact,2
would take,2
five minutes,2
the station,2
station house,2
to change,2
half hour,2
to riverhead,2
"riverhead ,",2
down his,2
his neck,2
"neck ,",2
", oh",2
not been,2
", rain",2
persisted .,2
so bad,2
"bad ,",2
s better,2
better than,2
"little ,",2
partially because,2
because the,2
the very,2
thought of,2
of snow,2
had found,2
found in,2
boy s,2
"blue ,",2
", really",2
d been,2
leaning forward,2
that a,2
boy was,2
was dead,2
makes me,2
me itchy,2
itchy .,2
break up,2
now let,2
face it,2
cop has,2
find a,2
up against,2
against a,2
that kid,2
bermuda .,2
. man,2
he walked,2
opened the,2
shop .,2
moment he,2
. hello,2
"hello ,",2
max was,2
he looked,2
looked up,2
sewing machine,2
who wants,2
wants wine,2
wine ?,2
genero answered,2
of your,2
"otherwise ,",2
i wouldn,2
"shop ,",2
", already",2
he moved,2
closer to,2
his gloves,2
gloves .,2
look like,2
like i,2
what else,2
else would,2
would i,2
salvation army,2
"uniform ,",2
s still,2
left in,2
all of,2
us a,2
cleaning and,2
and pressing,2
men .,2
max mandel,2
a tailor,2
"tailor ,",2
machine .,2
a day,2
today is,2
prostitution .,2
the old,2
grinned .,2
his jokes,2
was work,2
up a,2
right into,2
into a,2
s bones,2
his bones,2
m just,2
just saying,2
saying .,2
marrow .,2
get a,2
him up,2
"up ,",2
mean .,2
doing a,2
job with,2
with that,2
thanks .,2
went silent,2
. outside,2
chills a,2
is in,2
the pressing,2
too much,2
genero asked,2
blue eyes,2
but leave,2
nice of,2
of you,2
you go,2
and found,2
window and,2
and poured,2
the glass,2
"mouth ,",2
lips .,2
he called,2
i should,2
and stop,2
"bottle ,",2
m ready,2
for ?,2
s nothing,2
nothing but,2
stop giving,2
me with,2
she ll,2
in my,2
leave me,2
. every,2
in for,2
"alone ,",2
get lost,2
you love,2
i love,2
love you,2
cockroaches .,2
s right,2
rats .,2
bridge of,2
the ship,2
", will",2
", opening",2
opening the,2
closed the,2
door behind,2
behind him,2
could feel,2
feel a,2
the puddles,2
or perhaps,2
perhaps the,2
the tall,2
tall woman,2
was difficult,2
to tell,2
was standing,2
in black,2
. black,2
black raincoat,2
black slacks,2
black umbrella,2
bus pulled,2
pulled to,2
"curb ,",2
", spreading",2
a huge,2
canopy of,2
of water,2
the black,2
"shouted ,",2
he began,2
"trousers ,",2
was when,2
alongside the,2
stop sign,2
hey !,2
! he,2
he yelled,2
yelled after,2
bus .,2
"damnit ,",2
the sign,2
"small ,",2
blue overnight,2
an airline,2
airline .,2
there in,2
circle airlines,2
airlines .,2
we circle,2
circle the,2
the globe,2
globe .,2
attached to,2
identification tag,2
owned the,2
name and,2
spaces .,2
and reached,2
back his,2
. an,2
again and,2
now you,2
the word,2
word boys,2
boys to,2
to bed,2
who dealt,2
dealt with,2
with some,2
", perhaps",2
not be,2
believe that,2
who stood,2
"squadroom ,",2
", could",2
high school,2
day of,2
drinking coffee,2
squadroom .,2
. andy,2
time in,2
leaned back,2
back in,2
swivel chair,2
"chair ,",2
i stopped,2
highway .,2
then made,2
a u,2
u turn,2
you must,2
must be,2
mayor s,2
s daughter,2
. sitting,2
sitting on,2
the edge,2
edge of,2
not particularly,2
"investigation ,",2
to admit,2
he told,2
", my",2
was well,2
let me,2
beard .,2
o clock,2
at an,2
"hair ,",2
", dark",2
found their,2
their way,2
way into,2
was so,2
stopped by,2
himself as,2
detective and,2
to bawl,2
bawl out,2
him a,2
in truth,2
"truth ,",2
in other,2
was sitting,2
front seat,2
seat with,2
a two,2
two piece,2
piece costume,2
and these,2
these little,2
tiny little,2
little bra,2
the biggest,2
set of,2
i ever,2
a double,2
and for,2
all i,2
you for,2
indecent exposure,2
now how,2
a growing,2
growing boy,2
boy .,2
routine .,2
"father ,",2
", had",2
six feet,2
feet two,2
in at,2
pounds .,2
a face,2
a doll,2
hurry .,2
re going,2
give it,2
me !,2
she had,2
be on,2
flat .,2
catch the,2
you prefer,2
into her,2
", those",2
about to,2
? because,2
with those,2
ready to,2
! you,2
got out,2
and was,2
when the,2
leaped out,2
and started,2
the law,2
to pull,2
up and,2
"down ,",2
one leg,2
"leg ,",2
knew he,2
. parker,2
you let,2
let him,2
him go,2
. hell,2
"hurry ,",2
one i,2
a patrolman,2
right back,2
give you,2
me for,2
nodding his,2
s it,2
i said,2
mister ?,2
just kept,2
kept staring,2
"word ,",2
"head ,",2
if this,2
the last,2
the feeling,2
that this,2
the world,2
on him,2
the gas,2
so you,2
you should,2
guy s,2
d have,2
have known,2
known he,2
t kidding,2
kidding .,2
his eyes,2
anyone would,2
carried the,2
bag in,2
his right,2
", far",2
"white ,",2
came from,2
mouth .,2
away .,2
he seemed,2
where d,2
ll call,2
call the,2
not look,2
look into,2
bag again,2
said again,2
knew instantly,2
human body,2
now that,2
pretty damn,2
damn disgusting,2
s get,2
are one,2
those people,2
small spurt,2
spurt of,2
of dust,2
"dust ,",2
it is,2
are not,2
that death,2
death is,2
being .,2
"have ,",2
than likely,2
"likely ,",2
way of,2
deal with,2
with them,2
"are ,",2
nothing reassuring,2
has been,2
a hatchet,2
"skull ,",2
piece of,2
with color,2
"gone ,",2
nothing beautiful,2
a body,2
the skin,2
nothing tender,2
"smoke ,",2
the flesh,2
you learn,2
learn that,2
is ugly,2
", frightening",2
the force,2
force .,2
human hand,2
handling the,2
remains of,2
wondered why,2
the medical,2
examiner s,2
the most,2
to examine,2
who had,2
been in,2
to ribbons,2
knew that,2
a job,2
been severed,2
how can,2
the race,2
"age ,",2
probable height,2
person to,2
to whom,2
work .,2
"fortunately ,",2
skin .,2
of bodies,2
simple to,2
the information,2
information on,2
a slip,2
race white,2
white .,2
was another,2
identify the,2
the sex,2
sex of,2
presented with,2
blaney had,2
than the,2
her bones,2
medullary spaces,2
a female,2
and even,2
", nonetheless",2
"nonetheless ,",2
the past,2
"black ,",2
", another",2
a male,2
sex male,2
got back,2
work again,2
microscopic examination,2
examination of,2
that there,2
since he,2
his microscopic,2
the possibility,2
he turned,2
turned to,2
severed slightly,2
slightly above,2
above the,2
portions of,2
radius and,2
and ulna,2
the various,2
bones of,2
as he,2
go through,2
and fusion,2
the age,2
age of,2
be damned,2
damned .,2
his notes,2
when it,2
"victim ,",2
joint surface,2
an attempt,2
the height,2
"radius ,",2
d had,2
a whole,2
a portion,2
portion of,2
female .,2
. plus,2
plus .,2
. times,2
length of,2
of radius,2
radius .,2
", to",2
the final,2
make an,2
without a,2
the police,2
an isoreaction,2
blood group,2
group .,2
and grossman,2
grossman would,2
fingerprint impressions,2
impressions from,2
neatly sliced,2
couldn t,2
prints from,2
was this,2
from there,2
took it,2
his desk,2
", watching",2
along the,2
he dialed,2
office and,2
is carella,2
up at,2
with it,2
glad to,2
to hear,2
anyone in,2
here at,2
"th ,",2
office .,2
to have,2
s no,2
fellows do,2
do a,2
"job ,",2
easier for,2
for us,2
? your,2
and very,2
one thing,2
i wonder,2
wonder if,2
can tell,2
tell me,2
anything about,2
job ?,2
. your,2
but what,2
the perpetrator,2
perpetrator ?,2
woman who,2
the surgery,2
oh .,2
responsible for,2
"corpse ,",2
could you,2
say .,2
did it,2
through those,2
those bones,2
so the,2
was probably,2
of anatomy,2
think so,2
logical place,2
a real,2
why the,2
", can",2
ve seen,2
find the,2
but if,2
if a,2
is going,2
cut off,2
", why",2
hand ?,2
the fingertips,2
and sometimes,2
in any,2
any case,2
say not,2
that might,2
familiar with,2
his tools,2
hung up,2
thought for,2
the clerical,2
clerical office,2
was on,2
. frick,2
"actually ,",2
upon the,2
being a,2
he supposed,2
movie star,2
only got,2
to understand,2
"genero ,",2
that you,2
who left,2
left this,2
this person,2
. by,2
mean trousers,2
course i,2
shouted .,2
they could,2
"wear ,",2
trousers .,2
you saw,2
sidewalk ?,2
"bus ,",2
then i,2
n .,2
three blocks,2
away ?,2
you could,2
i wasn,2
bag to,2
or of,2
out to,2
international airport,2
", are",2
of all,2
", frick",2
frick said,2
that corner,2
at two,2
two thirty,2
thirty was,2
. at,2
we talked,2
t remember,2
at that,2
woman .,2
no one,2
a bus,2
t be,2
expected to,2
who gets,2
re right,2
started .,2
. look,2
. keep,2
on your,2
go on,2
left the,2
he wanted,2
. byrnes,2
byrnes said,2
at once,2
once .,2
the photograph,2
photograph of,2
. nice,2
detective meyer,2
a police,2
s our,2
the huge,2
wall of,2
the fourth,2
the runway,2
runway .,2
surface .,2
damn rain,2
. bad,2
can fly,2
"fly ,",2
the photo,2
photo of,2
"picture ,",2
about this,2
and looked,2
kling and,2
. some,2
used it,2
. ?,2
the newspapers,2
newspapers ?,2
would make,2
was thinking,2
that kind,2
it might,2
might be,2
good for,2
who knows,2
said patiently,2
patiently .,2
if there,2
was one,2
virtue he,2
"or ,",2
was named,2
with .,2
something of,2
a possibility,2
his wife,2
known as,2
of life,2
were both,2
to learn,2
practical joke,2
the baby,2
blue eyed,2
name would,2
a week,2
other hand,2
and they,2
a neighborhood,2
a large,2
the kids,2
"week ,",2
his name,2
got it,2
it in,2
learned that,2
to talk,2
. sometimes,2
sometimes it,2
worked .,2
just once,2
one other,2
"kid ,",2
"more ,",2
", well",2
are given,2
given to,2
with our,2
the operation,2
that correct,2
correct ?,2
exactly .,2
"in ,",2
in short,2
"short ,",2
class flight,2
same accommodations,2
the dinner,2
our tourist,2
flight .,2
. our,2
"and ,",2
all these,2
"enough ,",2
called the,2
which will,2
re trying,2
of people,2
means of,2
the bags,2
them to,2
all passengers,2
luxury or,2
or first,2
? all,2
six years,2
anyone who,2
correct .,2
how many,2
thousands and,2
and thousands,2
. forgive,2
forgive me,2
with all,2
all those,2
get into,2
it does,2
"thing ,",2
for your,2
your time,2
with meyer,2
they walked,2
across the,2
room to,2
friday morning,2
a kid,2
he used,2
turned up,2
", feeling",2
the streets,2
"beach ,",2
"suddenly ,",2
record player,2
the blanket,2
"korea ,",2
learned about,2
the earth,2
was to,2
wet and,2
and cold,2
cold .,2
had started,2
bartholdi .,2
", look",2
added .,2
said dryly,2
dryly .,2
the ages,2
ages of,2
of eighteen,2
eighteen and,2
you hear,2
? ambrose,2
"mike ,",2
bartholdi answered,2
time to,2
a new,2
assumption that,2
because of,2
detective .,2
we might,2
to you,2
be careful,2
"cards ,",2
your hands,2
morning ?,2
atop the,2
way you,2
change your,2
there for,2
the cards,2
caesar .,2
reported missing,2
over there,2
there near,2
he is,2
call his,2
. forget,2
"caesar ,",2
forget all,2
the february,2
february file,2
about her,2
. c,2
months .,2
was studying,2
the folder,2
"folder ,",2
of claire,2
claire townsend,2
"cigarette ,",2
and got,2
went down,2
be in,2
were looking,2
", kid",2
ll see,2
anyway ?,2
? bartholdi,2
a bag,2
. psssssss,2
"psssssss ,",2
pulled a,2
right in,2
. near,2
airlines bag,2
ones ?,2
? this,2
this one,2
kid .,2
took the,2
and went,2
talk to,2
hit the,2
? sure,2
meet you,2
guy is,2
"seaman ,",2
reported him,2
missing .,2
you on,2
for me,2
said you,2
as you,2
? okay,2
", okay",2
? right,2
deep into,2
", tried",2
to form,2
but nothing,2
hell was,2
a hat,2
i were,2
one corner,2
the opposite,2
where are,2
curb .,2
kept you,2
was leaving,2
get any,2
a cup,2
cup of,2
coffee ?,2
we see,2
see this,2
re coming,2
ll find,2
get the,2
claire .,2
read it,2
it through,2
a smile,2
claire s,2
father left,2
be back,2
"weekend ,",2
she wants,2
get married,2
she s,2
kling shrugged,2
the master,2
i ask,2
her to,2
every time,2
time i,2
go to,2
not to,2
marry her,2
i hope,2
with you,2
be different,2
we just,2
got married,2
am .,2
we are,2
keep my,2
hands off,2
